年份,年龄组,人数_万人,情景,备注
2026,15-24,63.7,低,结构漂移[假设]；总量级贴近香港老龄化路径
2026,25-34,93.1,低,结构漂移[假设]；总量级贴近香港老龄化路径
2026,35-44,107.8,低,结构漂移[假设]；总量级贴近香港老龄化路径
2026,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2026,55-64,98.0,低,结构漂移[假设]；总量级贴近香港老龄化路径
2026,65+,147.0,低,结构漂移[假设]；总量级贴近香港老龄化路径
2027,15-24,63.39,低,结构漂移[假设]；总量级贴近香港老龄化路径
2027,25-34,92.88,低,结构漂移[假设]；总量级贴近香港老龄化路径
2027,35-44,107.69,低,结构漂移[假设]；总量级贴近香港老龄化路径
2027,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2027,55-64,98.39,低,结构漂移[假设]；总量级贴近香港老龄化路径
2027,65+,149.12,低,结构漂移[假设]；总量级贴近香港老龄化路径
2028,15-24,63.09,低,结构漂移[假设]；总量级贴近香港老龄化路径
2028,25-34,92.65,低,结构漂移[假设]；总量级贴近香港老龄化路径
2028,35-44,107.58,低,结构漂移[假设]；总量级贴近香港老龄化路径
2028,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2028,55-64,98.79,低,结构漂移[假设]；总量级贴近香港老龄化路径
2028,65+,151.26,低,结构漂移[假设]；总量级贴近香港老龄化路径
2029,15-24,62.79,低,结构漂移[假设]；总量级贴近香港老龄化路径
2029,25-34,92.43,低,结构漂移[假设]；总量级贴近香港老龄化路径
2029,35-44,107.48,低,结构漂移[假设]；总量级贴近香港老龄化路径
2029,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2029,55-64,99.18,低,结构漂移[假设]；总量级贴近香港老龄化路径
2029,65+,153.44,低,结构漂移[假设]；总量级贴近香港老龄化路径
2030,15-24,62.49,低,结构漂移[假设]；总量级贴近香港老龄化路径
2030,25-34,92.21,低,结构漂移[假设]；总量级贴近香港老龄化路径
2030,35-44,107.37,低,结构漂移[假设]；总量级贴近香港老龄化路径
2030,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2030,55-64,99.58,低,结构漂移[假设]；总量级贴近香港老龄化路径
2030,65+,155.65,低,结构漂移[假设]；总量级贴近香港老龄化路径
2031,15-24,62.19,低,结构漂移[假设]；总量级贴近香港老龄化路径
2031,25-34,91.99,低,结构漂移[假设]；总量级贴近香港老龄化路径
2031,35-44,107.26,低,结构漂移[假设]；总量级贴近香港老龄化路径
2031,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2031,55-64,99.98,低,结构漂移[假设]；总量级贴近香港老龄化路径
2031,65+,157.89,低,结构漂移[假设]；总量级贴近香港老龄化路径
2032,15-24,61.89,低,结构漂移[假设]；总量级贴近香港老龄化路径
2032,25-34,91.77,低,结构漂移[假设]；总量级贴近香港老龄化路径
2032,35-44,107.15,低,结构漂移[假设]；总量级贴近香港老龄化路径
2032,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2032,55-64,100.38,低,结构漂移[假设]；总量级贴近香港老龄化路径
2032,65+,160.17,低,结构漂移[假设]；总量级贴近香港老龄化路径
2033,15-24,61.59,低,结构漂移[假设]；总量级贴近香港老龄化路径
2033,25-34,91.55,低,结构漂移[假设]；总量级贴近香港老龄化路径
2033,35-44,107.05,低,结构漂移[假设]；总量级贴近香港老龄化路径
2033,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2033,55-64,100.78,低,结构漂移[假设]；总量级贴近香港老龄化路径
2033,65+,162.47,低,结构漂移[假设]；总量级贴近香港老龄化路径
2034,15-24,61.29,低,结构漂移[假设]；总量级贴近香港老龄化路径
2034,25-34,91.33,低,结构漂移[假设]；总量级贴近香港老龄化路径
2034,35-44,106.94,低,结构漂移[假设]；总量级贴近香港老龄化路径
2034,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2034,55-64,101.18,低,结构漂移[假设]；总量级贴近香港老龄化路径
2034,65+,164.81,低,结构漂移[假设]；总量级贴近香港老龄化路径
2035,15-24,61.0,低,结构漂移[假设]；总量级贴近香港老龄化路径
2035,25-34,91.11,低,结构漂移[假设]；总量级贴近香港老龄化路径
2035,35-44,106.83,低,结构漂移[假设]；总量级贴近香港老龄化路径
2035,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2035,55-64,101.58,低,结构漂移[假设]；总量级贴近香港老龄化路径
2035,65+,167.19,低,结构漂移[假设]；总量级贴近香港老龄化路径
2036,15-24,60.71,低,结构漂移[假设]；总量级贴近香港老龄化路径
2036,25-34,90.89,低,结构漂移[假设]；总量级贴近香港老龄化路径
2036,35-44,106.73,低,结构漂移[假设]；总量级贴近香港老龄化路径
2036,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2036,55-64,101.99,低,结构漂移[假设]；总量级贴近香港老龄化路径
2036,65+,169.59,低,结构漂移[假设]；总量级贴近香港老龄化路径
2037,15-24,60.42,低,结构漂移[假设]；总量级贴近香港老龄化路径
2037,25-34,90.67,低,结构漂移[假设]；总量级贴近香港老龄化路径
2037,35-44,106.62,低,结构漂移[假设]；总量级贴近香港老龄化路径
2037,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2037,55-64,102.4,低,结构漂移[假设]；总量级贴近香港老龄化路径
2037,65+,172.04,低,结构漂移[假设]；总量级贴近香港老龄化路径
2038,15-24,60.13,低,结构漂移[假设]；总量级贴近香港老龄化路径
2038,25-34,90.45,低,结构漂移[假设]；总量级贴近香港老龄化路径
2038,35-44,106.51,低,结构漂移[假设]；总量级贴近香港老龄化路径
2038,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2038,55-64,102.81,低,结构漂移[假设]；总量级贴近香港老龄化路径
2038,65+,174.51,低,结构漂移[假设]；总量级贴近香港老龄化路径
2039,15-24,59.84,低,结构漂移[假设]；总量级贴近香港老龄化路径
2039,25-34,90.24,低,结构漂移[假设]；总量级贴近香港老龄化路径
2039,35-44,106.41,低,结构漂移[假设]；总量级贴近香港老龄化路径
2039,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2039,55-64,103.22,低,结构漂移[假设]；总量级贴近香港老龄化路径
2039,65+,177.03,低,结构漂移[假设]；总量级贴近香港老龄化路径
2040,15-24,59.55,低,结构漂移[假设]；总量级贴近香港老龄化路径
2040,25-34,90.02,低,结构漂移[假设]；总量级贴近香港老龄化路径
2040,35-44,106.3,低,结构漂移[假设]；总量级贴近香港老龄化路径
2040,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2040,55-64,103.63,低,结构漂移[假设]；总量级贴近香港老龄化路径
2040,65+,179.58,低,结构漂移[假设]；总量级贴近香港老龄化路径
2041,15-24,59.26,低,结构漂移[假设]；总量级贴近香港老龄化路径
2041,25-34,89.8,低,结构漂移[假设]；总量级贴近香港老龄化路径
2041,35-44,106.19,低,结构漂移[假设]；总量级贴近香港老龄化路径
2041,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2041,55-64,104.05,低,结构漂移[假设]；总量级贴近香港老龄化路径
2041,65+,182.16,低,结构漂移[假设]；总量级贴近香港老龄化路径
2042,15-24,58.98,低,结构漂移[假设]；总量级贴近香港老龄化路径
2042,25-34,89.59,低,结构漂移[假设]；总量级贴近香港老龄化路径
2042,35-44,106.09,低,结构漂移[假设]；总量级贴近香港老龄化路径
2042,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2042,55-64,104.46,低,结构漂移[假设]；总量级贴近香港老龄化路径
2042,65+,184.78,低,结构漂移[假设]；总量级贴近香港老龄化路径
2043,15-24,58.7,低,结构漂移[假设]；总量级贴近香港老龄化路径
2043,25-34,89.37,低,结构漂移[假设]；总量级贴近香港老龄化路径
2043,35-44,105.98,低,结构漂移[假设]；总量级贴近香港老龄化路径
2043,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2043,55-64,104.88,低,结构漂移[假设]；总量级贴近香港老龄化路径
2043,65+,187.45,低,结构漂移[假设]；总量级贴近香港老龄化路径
2044,15-24,58.42,低,结构漂移[假设]；总量级贴近香港老龄化路径
2044,25-34,89.16,低,结构漂移[假设]；总量级贴近香港老龄化路径
2044,35-44,105.88,低,结构漂移[假设]；总量级贴近香港老龄化路径
2044,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2044,55-64,105.3,低,结构漂移[假设]；总量级贴近香港老龄化路径
2044,65+,190.14,低,结构漂移[假设]；总量级贴近香港老龄化路径
2045,15-24,58.13,低,结构漂移[假设]；总量级贴近香港老龄化路径
2045,25-34,88.95,低,结构漂移[假设]；总量级贴近香港老龄化路径
2045,35-44,105.77,低,结构漂移[假设]；总量级贴近香港老龄化路径
2045,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2045,55-64,105.72,低,结构漂移[假设]；总量级贴近香港老龄化路径
2045,65+,192.88,低,结构漂移[假设]；总量级贴近香港老龄化路径
2046,15-24,57.86,低,结构漂移[假设]；总量级贴近香港老龄化路径
2046,25-34,88.73,低,结构漂移[假设]；总量级贴近香港老龄化路径
2046,35-44,105.66,低,结构漂移[假设]；总量级贴近香港老龄化路径
2046,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2046,55-64,106.15,低,结构漂移[假设]；总量级贴近香港老龄化路径
2046,65+,195.66,低,结构漂移[假设]；总量级贴近香港老龄化路径
2047,15-24,57.58,低,结构漂移[假设]；总量级贴近香港老龄化路径
2047,25-34,88.52,低,结构漂移[假设]；总量级贴近香港老龄化路径
2047,35-44,105.56,低,结构漂移[假设]；总量级贴近香港老龄化路径
2047,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2047,55-64,106.57,低,结构漂移[假设]；总量级贴近香港老龄化路径
2047,65+,198.48,低,结构漂移[假设]；总量级贴近香港老龄化路径
2048,15-24,57.3,低,结构漂移[假设]；总量级贴近香港老龄化路径
2048,25-34,88.31,低,结构漂移[假设]；总量级贴近香港老龄化路径
2048,35-44,105.45,低,结构漂移[假设]；总量级贴近香港老龄化路径
2048,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2048,55-64,107.0,低,结构漂移[假设]；总量级贴近香港老龄化路径
2048,65+,201.34,低,结构漂移[假设]；总量级贴近香港老龄化路径
2049,15-24,57.03,低,结构漂移[假设]；总量级贴近香港老龄化路径
2049,25-34,88.09,低,结构漂移[假设]；总量级贴近香港老龄化路径
2049,35-44,105.35,低,结构漂移[假设]；总量级贴近香港老龄化路径
2049,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2049,55-64,107.42,低,结构漂移[假设]；总量级贴近香港老龄化路径
2049,65+,204.23,低,结构漂移[假设]；总量级贴近香港老龄化路径
2050,15-24,56.75,低,结构漂移[假设]；总量级贴近香港老龄化路径
2050,25-34,87.88,低,结构漂移[假设]；总量级贴近香港老龄化路径
2050,35-44,105.24,低,结构漂移[假设]；总量级贴近香港老龄化路径
2050,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2050,55-64,107.85,低,结构漂移[假设]；总量级贴近香港老龄化路径
2050,65+,207.18,低,结构漂移[假设]；总量级贴近香港老龄化路径
2051,15-24,56.48,低,结构漂移[假设]；总量级贴近香港老龄化路径
2051,25-34,87.67,低,结构漂移[假设]；总量级贴近香港老龄化路径
2051,35-44,105.14,低,结构漂移[假设]；总量级贴近香港老龄化路径
2051,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2051,55-64,108.29,低,结构漂移[假设]；总量级贴近香港老龄化路径
2051,65+,210.16,低,结构漂移[假设]；总量级贴近香港老龄化路径
2052,15-24,56.21,低,结构漂移[假设]；总量级贴近香港老龄化路径
2052,25-34,87.46,低,结构漂移[假设]；总量级贴近香港老龄化路径
2052,35-44,105.03,低,结构漂移[假设]；总量级贴近香港老龄化路径
2052,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2052,55-64,108.72,低,结构漂移[假设]；总量级贴近香港老龄化路径
2052,65+,213.19,低,结构漂移[假设]；总量级贴近香港老龄化路径
2053,15-24,55.94,低,结构漂移[假设]；总量级贴近香港老龄化路径
2053,25-34,87.25,低,结构漂移[假设]；总量级贴近香港老龄化路径
2053,35-44,104.93,低,结构漂移[假设]；总量级贴近香港老龄化路径
2053,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2053,55-64,109.15,低,结构漂移[假设]；总量级贴近香港老龄化路径
2053,65+,216.26,低,结构漂移[假设]；总量级贴近香港老龄化路径
2054,15-24,55.67,低,结构漂移[假设]；总量级贴近香港老龄化路径
2054,25-34,87.04,低,结构漂移[假设]；总量级贴近香港老龄化路径
2054,35-44,104.82,低,结构漂移[假设]；总量级贴近香港老龄化路径
2054,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2054,55-64,109.59,低,结构漂移[假设]；总量级贴近香港老龄化路径
2054,65+,219.37,低,结构漂移[假设]；总量级贴近香港老龄化路径
2055,15-24,55.4,低,结构漂移[假设]；总量级贴近香港老龄化路径
2055,25-34,86.83,低,结构漂移[假设]；总量级贴近香港老龄化路径
2055,35-44,104.72,低,结构漂移[假设]；总量级贴近香港老龄化路径
2055,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2055,55-64,110.03,低,结构漂移[假设]；总量级贴近香港老龄化路径
2055,65+,222.53,低,结构漂移[假设]；总量级贴近香港老龄化路径
2056,15-24,55.14,低,结构漂移[假设]；总量级贴近香港老龄化路径
2056,25-34,86.62,低,结构漂移[假设]；总量级贴近香港老龄化路径
2056,35-44,104.61,低,结构漂移[假设]；总量级贴近香港老龄化路径
2056,45-54,102.9,低,结构漂移[假设]；总量级贴近香港老龄化路径
2056,55-64,110.47,低,结构漂移[假设]；总量级贴近香港老龄化路径
2056,65+,225.73,低,结构漂移[假设]；总量级贴近香港老龄化路径
2026,15-24,65.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2026,25-34,95.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2026,35-44,110.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2026,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2026,55-64,100.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2026,65+,150.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2027,15-24,64.74,中,结构漂移[假设]；总量级贴近香港老龄化路径
2027,25-34,94.81,中,结构漂移[假设]；总量级贴近香港老龄化路径
2027,35-44,109.89,中,结构漂移[假设]；总量级贴近香港老龄化路径
2027,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2027,55-64,100.4,中,结构漂移[假设]；总量级贴近香港老龄化路径
2027,65+,152.7,中,结构漂移[假设]；总量级贴近香港老龄化路径
2028,15-24,64.48,中,结构漂移[假设]；总量级贴近香港老龄化路径
2028,25-34,94.62,中,结构漂移[假设]；总量级贴近香港老龄化路径
2028,35-44,109.78,中,结构漂移[假设]；总量级贴近香港老龄化路径
2028,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2028,55-64,100.8,中,结构漂移[假设]；总量级贴近香港老龄化路径
2028,65+,155.45,中,结构漂移[假设]；总量级贴近香港老龄化路径
2029,15-24,64.22,中,结构漂移[假设]；总量级贴近香港老龄化路径
2029,25-34,94.43,中,结构漂移[假设]；总量级贴近香港老龄化路径
2029,35-44,109.67,中,结构漂移[假设]；总量级贴近香港老龄化路径
2029,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2029,55-64,101.2,中,结构漂移[假设]；总量级贴近香港老龄化路径
2029,65+,158.25,中,结构漂移[假设]；总量级贴近香港老龄化路径
2030,15-24,63.97,中,结构漂移[假设]；总量级贴近香港老龄化路径
2030,25-34,94.24,中,结构漂移[假设]；总量级贴近香港老龄化路径
2030,35-44,109.56,中,结构漂移[假设]；总量级贴近香港老龄化路径
2030,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2030,55-64,101.61,中,结构漂移[假设]；总量级贴近香港老龄化路径
2030,65+,161.1,中,结构漂移[假设]；总量级贴近香港老龄化路径
2031,15-24,63.71,中,结构漂移[假设]；总量级贴近香港老龄化路径
2031,25-34,94.05,中,结构漂移[假设]；总量级贴近香港老龄化路径
2031,35-44,109.45,中,结构漂移[假设]；总量级贴近香港老龄化路径
2031,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2031,55-64,102.02,中,结构漂移[假设]；总量级贴近香港老龄化路径
2031,65+,163.99,中,结构漂移[假设]；总量级贴近香港老龄化路径
2032,15-24,63.46,中,结构漂移[假设]；总量级贴近香港老龄化路径
2032,25-34,93.87,中,结构漂移[假设]；总量级贴近香港老龄化路径
2032,35-44,109.34,中,结构漂移[假设]；总量级贴近香港老龄化路径
2032,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2032,55-64,102.42,中,结构漂移[假设]；总量级贴近香港老龄化路径
2032,65+,166.95,中,结构漂移[假设]；总量级贴近香港老龄化路径
2033,15-24,63.2,中,结构漂移[假设]；总量级贴近香港老龄化路径
2033,25-34,93.68,中,结构漂移[假设]；总量级贴近香港老龄化路径
2033,35-44,109.23,中,结构漂移[假设]；总量级贴近香港老龄化路径
2033,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2033,55-64,102.83,中,结构漂移[假设]；总量级贴近香港老龄化路径
2033,65+,169.95,中,结构漂移[假设]；总量级贴近香港老龄化路径
2034,15-24,62.95,中,结构漂移[假设]；总量级贴近香港老龄化路径
2034,25-34,93.49,中,结构漂移[假设]；总量级贴近香港老龄化路径
2034,35-44,109.12,中,结构漂移[假设]；总量级贴近香港老龄化路径
2034,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2034,55-64,103.25,中,结构漂移[假设]；总量级贴近香港老龄化路径
2034,65+,173.01,中,结构漂移[假设]；总量级贴近香港老龄化路径
2035,15-24,62.7,中,结构漂移[假设]；总量级贴近香港老龄化路径
2035,25-34,93.3,中,结构漂移[假设]；总量级贴近香港老龄化路径
2035,35-44,109.01,中,结构漂移[假设]；总量级贴近香港老龄化路径
2035,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2035,55-64,103.66,中,结构漂移[假设]；总量级贴近香港老龄化路径
2035,65+,176.13,中,结构漂移[假设]；总量级贴近香港老龄化路径
2036,15-24,62.45,中,结构漂移[假设]；总量级贴近香港老龄化路径
2036,25-34,93.12,中,结构漂移[假设]；总量级贴近香港老龄化路径
2036,35-44,108.9,中,结构漂移[假设]；总量级贴近香港老龄化路径
2036,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2036,55-64,104.07,中,结构漂移[假设]；总量级贴近香港老龄化路径
2036,65+,179.3,中,结构漂移[假设]；总量级贴近香港老龄化路径
2037,15-24,62.2,中,结构漂移[假设]；总量级贴近香港老龄化路径
2037,25-34,92.93,中,结构漂移[假设]；总量级贴近香港老龄化路径
2037,35-44,108.8,中,结构漂移[假设]；总量级贴近香港老龄化路径
2037,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2037,55-64,104.49,中,结构漂移[假设]；总量级贴近香港老龄化路径
2037,65+,182.52,中,结构漂移[假设]；总量级贴近香港老龄化路径
2038,15-24,61.95,中,结构漂移[假设]；总量级贴近香港老龄化路径
2038,25-34,92.74,中,结构漂移[假设]；总量级贴近香港老龄化路径
2038,35-44,108.69,中,结构漂移[假设]；总量级贴近香港老龄化路径
2038,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2038,55-64,104.91,中,结构漂移[假设]；总量级贴近香港老龄化路径
2038,65+,185.81,中,结构漂移[假设]；总量级贴近香港老龄化路径
2039,15-24,61.7,中,结构漂移[假设]；总量级贴近香港老龄化路径
2039,25-34,92.56,中,结构漂移[假设]；总量级贴近香港老龄化路径
2039,35-44,108.58,中,结构漂移[假设]；总量级贴近香港老龄化路径
2039,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2039,55-64,105.33,中,结构漂移[假设]；总量级贴近香港老龄化路径
2039,65+,189.15,中,结构漂移[假设]；总量级贴近香港老龄化路径
2040,15-24,61.45,中,结构漂移[假设]；总量级贴近香港老龄化路径
2040,25-34,92.37,中,结构漂移[假设]；总量级贴近香港老龄化路径
2040,35-44,108.47,中,结构漂移[假设]；总量级贴近香港老龄化路径
2040,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2040,55-64,105.75,中,结构漂移[假设]；总量级贴近香港老龄化路径
2040,65+,192.56,中,结构漂移[假设]；总量级贴近香港老龄化路径
2041,15-24,61.21,中,结构漂移[假设]；总量级贴近香港老龄化路径
2041,25-34,92.19,中,结构漂移[假设]；总量级贴近香港老龄化路径
2041,35-44,108.36,中,结构漂移[假设]；总量级贴近香港老龄化路径
2041,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2041,55-64,106.17,中,结构漂移[假设]；总量级贴近香港老龄化路径
2041,65+,196.02,中,结构漂移[假设]；总量级贴近香港老龄化路径
2042,15-24,60.96,中,结构漂移[假设]；总量级贴近香港老龄化路径
2042,25-34,92.01,中,结构漂移[假设]；总量级贴近香港老龄化路径
2042,35-44,108.25,中,结构漂移[假设]；总量级贴近香港老龄化路径
2042,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2042,55-64,106.6,中,结构漂移[假设]；总量级贴近香港老龄化路径
2042,65+,199.55,中,结构漂移[假设]；总量级贴近香港老龄化路径
2043,15-24,60.72,中,结构漂移[假设]；总量级贴近香港老龄化路径
2043,25-34,91.82,中,结构漂移[假设]；总量级贴近香港老龄化路径
2043,35-44,108.14,中,结构漂移[假设]；总量级贴近香港老龄化路径
2043,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
2043,55-64,107.02,中,结构漂移[假设]；总量级贴近香港老龄化路径
2043,65+,203.14,中,结构漂移[假设]；总量级贴近香港老龄化路径
2044,15-24,60.48,中,结构漂移[假设]；总量级贴近香港老龄化路径
2044,25-34,91.64,中,结构漂移[假设]；总量级贴近香港老龄化路径
2044,35-44,108.04,中,结构漂移[假设]；总量级贴近香港老龄化路径
2044,45-54,105.0,中,结构漂移[假设]；总量级贴近香港老龄化路径
