年份,缴费人数_万人,劳动人口_万人,就业率,平均有关入息_港元每月,年强制性供款流入_亿港元,情景,自洽校验,备注
2026,280.0,400.0,0.97,16000.0,537.6,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2027,279.16,399.2,0.97,16192.0,542.42,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2028,278.32,398.4,0.97,16386.0,547.28,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2029,277.49,397.6,0.97,16583.0,552.19,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2030,276.66,396.81,0.97,16782.0,557.14,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2031,275.83,396.02,0.97,16983.0,562.13,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2032,275.0,395.22,0.97,17187.0,567.17,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2033,274.17,394.43,0.97,17393.0,572.25,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2034,273.35,393.64,0.97,17602.0,577.38,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2035,272.53,392.86,0.97,17813.0,582.56,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2036,271.71,392.07,0.97,18027.0,587.78,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2037,270.9,391.29,0.97,18243.0,593.05,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2038,270.08,390.5,0.97,18462.0,598.37,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2039,269.27,389.72,0.97,18684.0,603.73,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2040,268.47,388.94,0.97,18908.0,609.14,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2041,267.66,388.17,0.97,19135.0,614.6,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2042,266.86,387.39,0.97,19365.0,620.11,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2043,266.06,386.62,0.97,19597.0,625.67,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2044,265.26,385.84,0.97,19832.0,631.28,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2045,264.46,385.07,0.97,20070.0,636.94,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2046,263.67,384.3,0.97,20311.0,642.65,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2047,262.88,383.53,0.97,20555.0,648.41,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2048,262.09,382.76,0.97,20801.0,654.22,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2049,261.3,382.0,0.97,21051.0,660.08,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2050,260.52,381.24,0.97,21304.0,666.0,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2051,259.74,380.47,0.97,21559.0,671.97,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2052,258.96,379.71,0.97,21818.0,678.0,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2053,258.18,378.95,0.97,22080.0,684.07,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2054,257.41,378.19,0.97,22345.0,690.2,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2055,256.64,377.44,0.97,22613.0,696.39,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2056,255.87,376.68,0.97,22884.0,702.63,低,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2026,280.0,400.0,0.97,18500.0,621.6,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2027,280.28,400.4,0.97,18962.0,637.78,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2028,280.56,400.8,0.97,19437.0,654.38,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2029,280.84,401.2,0.97,19922.0,671.41,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2030,281.12,401.6,0.97,20421.0,688.88,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2031,281.4,402.0,0.97,20931.0,706.81,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2032,281.68,402.41,0.97,21454.0,725.2,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2033,281.97,402.81,0.97,21991.0,744.07,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2034,282.25,403.21,0.97,22540.0,763.44,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2035,282.53,403.61,0.97,23104.0,783.31,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2036,282.81,404.02,0.97,23682.0,803.69,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2037,283.1,404.42,0.97,24274.0,824.61,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2038,283.38,404.83,0.97,24880.0,846.07,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2039,283.66,405.23,0.97,25502.0,868.09,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2040,283.95,405.64,0.97,26140.0,890.68,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2041,284.23,406.04,0.97,26794.0,913.86,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2042,284.51,406.45,0.97,27463.0,937.64,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2043,284.8,406.85,0.97,28150.0,962.05,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2044,285.08,407.26,0.97,28854.0,987.08,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2045,285.37,407.67,0.97,29575.0,1012.77,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2046,285.65,408.08,0.97,30000,1028.35,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
2047,285.94,408.48,0.97,30000,1029.38,中,缴费人数≤劳动人口×就业率×0.85,[假设] 入息增长与老龄化拖累参与率；金额单位亿港元
