年份,基金类型,年率化净回报率,年率化净回报率_百分比,情景,配置权重_中枢,来源或假设
2026,股票基金,0.035,3.5,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2026,混合资产基金,0.025,2.5,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2026,DIS核心累积基金,0.028,2.8,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2026,保守基金,0.005,0.5,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2027,股票基金,0.0416,4.16,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2027,混合资产基金,0.0316,3.16,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2027,DIS核心累积基金,0.0346,3.46,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2027,保守基金,0.0116,1.16,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2028,股票基金,0.044,4.4,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2028,混合资产基金,0.034,3.4,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2028,DIS核心累积基金,0.037,3.7,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2028,保守基金,0.014,1.4,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2029,股票基金,0.0406,4.06,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2029,混合资产基金,0.0306,3.06,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2029,DIS核心累积基金,0.0336,3.36,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2029,保守基金,0.0106,1.06,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2030,股票基金,0.033,3.3,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2030,混合资产基金,0.023,2.3,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2030,DIS核心累积基金,0.026,2.6,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2030,保守基金,0.003,0.3,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2031,股票基金,0.0254,2.54,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2031,混合资产基金,0.0154,1.54,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2031,DIS核心累积基金,0.0184,1.84,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2031,保守基金,-0.0046,-0.46,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2032,股票基金,0.022,2.2,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2032,混合资产基金,0.012,1.2,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2032,DIS核心累积基金,0.015,1.5,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2032,保守基金,-0.008,-0.8,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2033,股票基金,0.0244,2.44,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2033,混合资产基金,0.0144,1.44,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
2033,DIS核心累积基金,0.0174,1.74,低,0.25,参考DIS Core Accumulation长期净回报量级[假设情景中枢]
2033,保守基金,-0.0056,-0.56,低,0.12,参考MPFA保守基金/低波资产长期净回报量级[假设情景中枢]
2034,股票基金,0.031,3.1,低,0.28,参考MPFA股票基金长期年率化净回报量级[假设情景中枢]
2034,混合资产基金,0.021,2.1,低,0.35,参考MPFA混合资产基金长期年率化净回报量级[假设情景中枢]
