年份,退休人数_万人,平均提取比例,人均账户余额_万港元,系统提取流出_亿港元,情景,备注
2026,6.75,0.322,45.0,97.81,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2027,6.85,0.324,45.9,101.89,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2028,6.95,0.326,46.82,106.14,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2029,7.06,0.328,47.75,110.56,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2030,7.16,0.33,48.71,115.16,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2031,7.27,0.332,49.68,119.95,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2032,7.38,0.334,50.68,124.93,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2033,7.49,0.336,51.69,130.11,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2034,7.6,0.338,52.72,135.51,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2035,7.72,0.34,53.78,141.12,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2036,7.83,0.342,54.85,146.96,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2037,7.95,0.344,55.95,153.04,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2038,8.07,0.346,57.07,159.36,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2039,8.19,0.348,58.21,165.94,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2040,8.31,0.35,59.38,172.79,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2041,8.44,0.352,60.56,179.91,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2042,8.57,0.354,61.78,187.32,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2043,8.69,0.356,63.01,195.03,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2044,8.82,0.358,64.27,203.04,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2045,8.96,0.36,65.56,211.39,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2046,9.09,0.362,66.87,220.06,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2047,9.23,0.364,68.2,229.09,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2048,9.37,0.366,69.57,238.48,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2049,9.51,0.368,70.96,248.25,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2050,9.65,0.37,72.38,258.41,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2051,9.79,0.372,73.83,268.98,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2052,9.94,0.374,75.3,279.97,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2053,10.09,0.376,76.81,291.4,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2054,10.24,0.378,78.35,303.29,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2055,10.39,0.38,79.91,315.66,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2056,10.55,0.382,81.51,328.52,低,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2026,7.5,0.35,45.0,118.12,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2027,7.61,0.35,46.57,124.09,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2028,7.73,0.35,48.21,130.36,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2029,7.84,0.35,49.89,136.95,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2030,7.96,0.35,51.64,143.87,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2031,8.08,0.35,53.45,151.14,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2032,8.2,0.35,55.32,158.77,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2033,8.32,0.35,57.25,166.8,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2034,8.45,0.35,59.26,175.22,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2035,8.58,0.35,61.33,184.08,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2036,8.7,0.35,63.48,193.38,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2037,8.83,0.35,65.7,203.15,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2038,8.97,0.35,68.0,213.41,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2039,9.1,0.35,70.38,224.19,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2040,9.24,0.35,72.84,235.52,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2041,9.38,0.35,75.39,247.42,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2042,9.52,0.35,78.03,259.92,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2043,9.66,0.35,80.76,273.06,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2044,9.81,0.35,83.59,286.85,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2045,9.95,0.35,86.51,301.34,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2046,10.1,0.35,89.54,316.57,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2047,10.25,0.35,92.67,332.56,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2048,10.41,0.35,95.92,349.37,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2049,10.56,0.35,99.28,367.02,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2050,10.72,0.35,102.75,385.56,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2051,10.88,0.35,106.35,405.04,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2052,11.05,0.35,110.07,425.51,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2053,11.21,0.35,113.92,447.01,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2054,11.38,0.35,117.91,469.59,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2055,11.55,0.35,122.03,493.32,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2056,11.72,0.35,126.31,518.24,中,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2026,8.25,0.378,45.0,140.33,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2027,8.37,0.377,47.02,148.45,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2028,8.5,0.376,49.14,157.04,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2029,8.63,0.375,51.35,166.13,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
2030,8.76,0.374,53.66,175.74,高,[假设] 退休年龄简化为65；提取含整笔/分期/保留，比例为当年流量口径
