年份,情景,情景标签,总资产_期初_亿港元,加权净回报率,总供款_亿港元,其中_雇员强制,其中_雇主强制,其中_自雇强制,其中_自愿供款,表3_强制流入对照,总提取_亿港元,其中_达龄提取,其中_提前提取,费用_亿港元,净现金流_亿港元,投资损益_亿港元,总资产_期末_亿港元,资产同比增速,供款占资产,提取占资产,缴费人数_万人,平均有关入息,保守基金权重
2026,高,乐观,16700.0,0.07035,707.8956,294.9408,299.0064,38.1024,75.846,705.6,159.2325,140.3325,18.9,25.05,523.6131,1174.845,18398.4581,0.101704,0.042389,0.009535,280.0,21000.0,0.12
2027,高,乐观,18398.4581,0.077247,735.4426,306.4848,310.5666,39.5937,78.7974,733.22,168.1985,148.3711,19.8274,27.5977,539.6464,1421.2244,20359.3288,0.106578,0.039973,0.009142,281.12,21735.0,0.122
2028,高,乐观,20359.3288,0.079944,764.0643,318.4794,322.5776,41.1433,81.864,761.92,177.8554,157.0514,20.8039,30.539,555.67,1627.6034,22542.6022,0.107237,0.037529,0.008736,282.24,22496.0,0.124
2029,高,乐观,22542.6022,0.076841,793.7992,330.9408,335.0554,42.7531,85.0499,791.74,188.008,166.1814,21.8266,33.8139,571.9773,1732.1915,24846.771,0.102214,0.035213,0.00834,283.37,23283.0,0.126
2030,高,乐观,24846.771,0.069538,824.7287,343.9031,348.0342,44.4277,88.3638,822.73,198.7032,175.803,22.9002,37.2702,588.7553,1727.788,27163.3143,0.093233,0.033193,0.007997,284.51,24098.0,0.128
2031,高,乐观,27163.3143,0.062235,856.8072,357.3472,361.4947,46.1645,91.8008,854.93,209.9876,185.9596,24.028,40.745,606.0746,1690.4996,29459.8885,0.084547,0.031543,0.007731,285.64,24941.0,0.13
2032,高,乐观,29459.8885,0.059132,890.2047,371.3444,375.5086,47.9727,95.3791,888.39,221.8376,196.6288,25.2088,44.1898,624.1773,1742.0101,31826.0758,0.080319,0.030218,0.00753,286.79,25814.0,0.132
2033,高,乐观,31826.0758,0.061829,924.878,385.8766,390.0573,49.8501,99.0941,923.16,234.5648,208.1156,26.4492,47.7391,642.5741,1967.7592,34436.4091,0.082019,0.02906,0.00737,287.93,26718.0,0.134
2034,高,乐观,34436.4091,0.068725,960.9362,400.9894,405.1869,51.8025,102.9575,959.29,247.7011,219.9528,27.7483,51.6546,661.5805,2366.6579,37464.6474,0.087937,0.027905,0.007193,289.09,27653.0,0.136
2035,高,乐观,37464.6474,0.075622,998.3652,416.6771,420.8914,53.8291,106.9677,996.84,261.7981,232.6855,29.1125,56.197,680.3702,2833.166,40978.1837,0.093783,0.026648,0.006988,290.24,28621.0,0.138
2036,高,乐观,40978.1837,0.078319,1037.2812,432.9883,437.2194,55.9363,111.1373,1035.86,276.6451,246.1006,30.5445,61.4673,699.1688,3209.3834,44886.7358,0.095381,0.025313,0.006751,291.4,29623.0,0.14
2037,高,乐观,44886.7358,0.075216,1054.6395,440.2593,444.5075,56.8756,112.9971,1053.25,292.5651,260.5155,32.0496,67.3301,694.7443,3376.2119,48957.6921,0.090694,0.023496,0.006518,292.57,30000.0,0.142
2038,高,乐观,48957.6921,0.067913,1058.857,442.02,446.2851,57.1031,113.449,1057.46,309.0074,275.3845,33.6229,73.4365,676.4131,3324.8726,52958.9778,0.081729,0.021628,0.006312,293.74,30000.0,0.144
2039,高,乐观,52958.9778,0.06061,1063.0746,443.7806,448.0627,57.3305,113.9008,1061.69,326.6572,291.3786,35.2786,79.4385,656.9789,3209.8497,56825.8063,0.073016,0.020074,0.006168,294.91,30000.0,0.146
2040,高,乐观,56825.8063,0.057507,1067.3282,445.5562,449.8555,57.5599,114.3566,1065.94,345.2255,308.2113,37.0142,85.2387,636.8639,3267.8842,60730.5545,0.068714,0.018782,0.006075,296.09,30000.0,0.148
2041,高,乐观,60730.5545,0.060204,1071.6178,447.3469,451.6634,57.7912,114.8162,1070.2,364.7721,325.9369,38.8352,91.0958,615.7499,3656.2209,65002.5253,0.070343,0.017645,0.006006,297.28,30000.0,0.15
2042,高,乐观,65002.5253,0.067101,1075.9075,449.1377,453.4714,58.0226,115.2758,1074.48,385.6863,344.9406,40.7456,97.5038,592.7174,4361.7285,69956.9713,0.076219,0.016552,0.005933,298.47,30000.0,0.152
2043,高,乐观,69956.9713,0.073998,1080.1971,450.9284,455.2794,58.2539,115.7354,1078.78,407.6861,364.9396,42.7465,104.9355,567.5756,5176.6648,75701.2116,0.082111,0.015441,0.005828,299.66,30000.0,0.154
2044,高,乐观,75701.2116,0.076695,1084.5228,452.7341,457.1026,58.4872,116.1989,1083.1,430.8809,386.0317,44.8492,113.5518,540.0901,5805.8872,82047.189,0.083829,0.014326,0.005692,300.86,30000.0,0.156
2045,高,乐观,82047.189,0.073592,1088.8485,454.5399,458.9258,58.7205,116.6623,1087.43,455.2929,408.2395,47.0534,123.0708,510.4848,6037.9925,88595.6662,0.079814,0.013271,0.005549,302.06,30000.0,0.158
2046,高,乐观,88595.6662,0.066289,1093.2102,456.3607,460.7642,58.9557,117.1297,1091.78,481.0359,431.6651,49.3708,132.8935,479.2808,5872.8859,94947.833,0.071698,0.012339,0.00543,303.27,30000.0,0.16
2047,高,乐观,94947.833,0.058986,1097.608,458.1966,462.6177,59.1929,117.6009,1096.15,508.4958,456.6975,51.7983,142.4217,446.6904,5600.5519,100995.0753,0.06369,0.01156,0.005356,304.49,30000.0,0.162
2048,高,乐观,100995.0753,0.055883,1101.9698,460.0174,464.4561,59.4281,118.0682,1100.53,537.4132,483.0705,54.3428,151.4926,413.0639,5643.8573,107051.9965,0.059972,0.010911,0.005321,305.7,30000.0,0.164
2049,高,乐观,107051.9965,0.058579,1106.4036,461.8683,466.3249,59.6672,118.5432,1104.93,567.9136,510.8936,57.0199,160.578,377.912,6271.0451,113700.9536,0.06211,0.010335,0.005305,306.93,30000.0,0.166
2050,高,乐观,113700.9536,0.065476,1110.8014,463.7041,468.1785,59.9044,119.0144,1109.35,599.9762,540.1551,59.8212,170.5514,340.2737,7444.725,121485.9523,0.068469,0.009769,0.005277,308.15,30000.0,0.168
2051,高,乐观,121485.9523,0.072373,1115.2713,465.5701,470.0624,60.1454,119.4933,1113.79,634.2073,571.4444,62.7629,182.2289,298.835,8792.3387,130577.1261,0.074833,0.00918,0.00522,309.39,30000.0,0.17
2052,高,乐观,130577.1261,0.07507,1119.7051,467.421,471.9312,60.3845,119.9684,1118.25,670.29,604.4401,65.8499,195.8657,253.5494,9802.4545,140633.13,0.077012,0.008575,0.005133,310.62,30000.0,0.172
2053,高,乐观,140633.13,0.071967,1124.211,469.302,473.8303,60.6275,120.4512,1122.72,708.2673,639.1772,69.0901,210.9497,204.994,10120.9668,150959.0908,0.073425,0.007994,0.005036,311.87,30000.0,0.174
2054,高,乐观,150959.0908,0.064664,1128.6809,471.1679,475.7143,60.8686,120.9301,1127.21,748.806,676.3179,72.4881,226.4386,153.4363,9761.6324,160874.1594,0.065681,0.007477,0.00496,313.11,30000.0,0.176
2055,高,乐观,160874.1594,0.057361,1133.2229,473.064,477.6286,61.1135,121.4167,1131.72,790.8937,714.8413,76.0524,241.3112,101.0179,9227.9063,170203.0836,0.057989,0.007044,0.004916,314.37,30000.0,0.178
