年份,情景,情景标签,总资产_期初_亿港元,加权净回报率,总供款_亿港元,其中_雇员强制,其中_雇主强制,其中_自雇强制,其中_自愿供款,表3_强制流入对照,总提取_亿港元,其中_达龄提取,其中_提前提取,费用_亿港元,净现金流_亿港元,投资损益_亿港元,总资产_期末_亿港元,资产同比增速,供款占资产,提取占资产,缴费人数_万人,平均有关入息,保守基金权重
2026,中,基准,16700.0,0.04825,596.8433,257.0938,261.9725,33.5664,44.2106,621.6,146.097,118.125,27.972,33.4,417.3463,805.775,17923.1213,0.073241,0.035739,0.008748,280.0,18500.0,0.12
2027,中,基准,17923.1213,0.054899,612.2282,263.7777,268.6613,34.4391,45.3502,637.78,153.0161,124.0392,28.9769,35.8462,423.3659,983.959,19330.4462,0.07852,0.034159,0.008537,280.28,18962.0,0.124
2028,中,基准,19330.4462,0.057348,628.0593,270.6554,275.5439,35.337,46.5229,654.38,160.4594,130.4322,30.0273,38.6609,428.939,1108.5572,20867.9423,0.079538,0.032491,0.008301,280.56,19437.0,0.128
2029,中,基准,20867.9423,0.053997,644.2415,277.6858,282.5792,36.2549,47.7216,671.41,168.0028,136.8982,31.1047,41.7359,434.5028,1126.7977,22429.2428,0.074818,0.030872,0.008051,280.84,19922.0,0.132
2030,中,基准,22429.2428,0.046445,660.9041,284.925,289.8232,37.2001,48.9559,688.88,176.0969,143.869,32.2278,44.8585,439.9488,1041.7364,23910.928,0.06606,0.029466,0.007851,281.12,20421.0,0.136
2031,中,基准,23910.928,0.038894,677.9522,292.3317,297.2348,38.1671,50.2187,706.81,184.5472,151.1566,33.3906,47.8219,445.5831,929.9992,25286.5103,0.057529,0.028353,0.007718,281.4,20931.0,0.14
2032,中,基准,25286.5103,0.035543,695.4511,299.9343,304.8422,39.1597,51.5149,725.2,193.3616,158.7684,34.5932,50.573,451.5164,898.763,26636.7898,0.053399,0.027503,0.007647,281.68,21454.0,0.144
2033,中,基准,26636.7898,0.037992,713.4595,307.7582,312.6713,40.1812,52.8489,744.07,202.549,166.712,35.837,53.2736,457.637,1011.9861,28106.4129,0.055173,0.026785,0.007604,281.97,21991.0,0.148
2034,中,基准,28106.4129,0.044641,731.8644,315.7546,320.6725,41.2252,54.2122,763.44,212.3935,175.2614,37.132,56.2128,463.2581,1254.6958,29824.3669,0.061123,0.026039,0.007557,282.25,22540.0,0.152
2035,中,基准,29824.3669,0.05129,750.7885,323.9765,328.8993,42.2987,55.614,783.31,222.6412,184.174,38.4672,59.6487,468.4985,1529.685,31822.5504,0.066998,0.025174,0.007465,282.53,23104.0,0.156
2036,中,基准,31822.5504,0.053739,770.2007,332.4106,337.3383,43.3998,57.0519,803.69,233.1518,193.2966,39.8552,63.6451,473.4038,1710.1005,34006.0547,0.068615,0.024203,0.007327,282.81,23682.0,0.16
2037,中,基准,34006.0547,0.050388,790.1304,341.0696,346.0023,44.5304,58.5282,824.61,244.3371,203.0459,41.2913,68.0121,477.7812,1713.4801,36197.316,0.064437,0.023235,0.007185,283.1,24274.0,0.164
2038,中,基准,36197.316,0.042836,810.5239,349.9301,354.8678,45.6872,60.0388,846.07,256.265,213.486,42.779,72.3946,481.8642,1550.5614,38229.7416,0.056149,0.022392,0.00708,283.38,24880.0,0.168
2039,中,基准,38229.7416,0.035285,831.4744,359.0328,363.9753,46.8757,61.5907,868.09,268.4804,224.1603,44.3201,76.4595,486.5346,1348.9451,40065.2213,0.048012,0.021749,0.007023,283.66,25502.0,0.172
2040,中,基准,40065.2213,0.031934,853.0136,368.3912,373.3387,48.0975,63.1862,890.68,281.4806,235.5646,45.9161,80.1304,491.4025,1279.4464,41836.0703,0.044199,0.021291,0.007026,283.95,26140.0,0.176
2041,中,基准,41836.0703,0.034383,875.0836,377.9804,382.9328,49.3495,64.821,913.86,295.0758,247.5054,47.5704,83.6721,496.3357,1438.4477,43770.8537,0.046247,0.020917,0.007053,284.23,26794.0,0.18
2042,中,基准,43770.8537,0.041032,897.6829,387.7995,392.7568,50.6315,66.495,937.64,309.2807,259.996,49.2847,87.5417,500.8605,1795.9977,46067.7119,0.052475,0.020509,0.007066,284.51,27463.0,0.184
2043,中,基准,46067.7119,0.047681,920.9427,397.9057,402.8681,51.9509,68.218,962.05,324.1106,273.0496,51.061,92.1354,504.6967,2196.5399,48768.9485,0.058636,0.019991,0.007036,284.8,28150.0,0.188
2044,中,基准,48768.9485,0.05013,944.7683,408.2579,413.2251,53.3025,69.9828,987.08,339.9085,287.0063,52.9022,97.5379,507.3219,2444.7652,51721.0357,0.060532,0.019372,0.00697,285.08,28854.0,0.192
2045,中,基准,51721.0357,0.046778,969.227,418.885,423.8573,54.69,71.7946,1012.77,356.077,301.2711,54.8059,103.4421,509.7079,2419.4278,54650.1713,0.056633,0.01874,0.006885,285.37,29575.0,0.196
