年份,情景,情景标签,总资产_期初_亿港元,加权净回报率,总供款_亿港元,其中_雇员强制,其中_雇主强制,其中_自雇强制,其中_自愿供款,表3_强制流入对照,总提取_亿港元,其中_达龄提取,其中_提前提取,费用_亿港元,净现金流_亿港元,投资损益_亿港元,总资产_期末_亿港元,资产同比增速,供款占资产,提取占资产,缴费人数_万人,平均有关入息,保守基金权重
2026,低,悲观,16700.0,0.02615,493.6818,219.9859,225.6778,29.0304,18.9878,537.6,134.8515,97.8075,37.044,41.75,317.0803,436.705,17453.7853,0.045137,0.029562,0.008075,280.0,16000.0,0.12
2027,低,悲观,17453.7853,0.032606,498.0364,221.9579,227.6326,29.2906,19.1552,542.42,139.542,101.8705,37.6715,43.6345,314.8599,569.0946,18337.7398,0.050645,0.028535,0.007995,279.16,16192.0,0.126
2028,低,悲观,18337.7398,0.034862,502.4164,223.9413,229.599,29.5524,19.3237,547.28,144.391,106.0801,38.311,45.8443,312.181,639.2828,19289.2036,0.051886,0.027398,0.007874,278.32,16386.0,0.132
2029,低,悲观,19289.2036,0.031317,506.8699,225.9578,231.5986,29.8185,19.495,552.19,149.5292,110.5737,38.9554,48.223,309.1177,604.0874,20202.4088,0.047343,0.026277,0.007752,277.49,16583.0,0.138
2030,低,悲观,20202.4088,0.023573,511.3479,227.9854,233.6093,30.086,19.6672,557.14,154.7117,115.092,39.6198,50.506,306.1302,476.2351,20984.774,0.038726,0.025311,0.007658,276.66,16782.0,0.144
2031,低,悲观,20984.774,0.015829,515.8501,230.0238,235.6309,30.355,19.8404,562.13,160.1971,119.9096,40.2875,52.4619,303.191,332.1675,21620.1325,0.030277,0.024582,0.007634,275.83,16983.0,0.15
2032,低,悲观,21620.1325,0.012285,520.4058,232.0864,237.6766,30.6272,20.0156,567.17,165.8969,124.9221,40.9748,54.0503,300.4585,265.5984,22186.1895,0.026182,0.02407,0.007673,275.0,17187.0,0.156
2033,低,悲观,22186.1895,0.014541,524.9843,234.1592,239.7326,30.9008,20.1917,572.25,171.7504,130.0851,41.6652,55.4655,297.7685,322.5998,22806.5578,0.027962,0.023663,0.007741,274.17,17393.0,0.162
2034,低,悲观,22806.5578,0.020996,529.6342,236.2642,241.8209,31.1786,20.3705,577.38,177.7955,135.4271,42.3684,57.0164,294.8223,478.8548,23580.2349,0.033923,0.023223,0.007796,273.35,17602.0,0.168
2035,低,悲观,23580.2349,0.027452,534.3062,238.3791,243.9191,31.4577,20.5502,582.56,184.2523,141.1617,43.0906,58.9506,291.1033,647.3284,24518.6665,0.039797,0.022659,0.007814,272.53,17813.0,0.174
2036,低,悲观,24518.6665,0.029708,539.0292,240.5171,246.0404,31.7398,20.7319,587.78,190.6963,146.8806,43.8157,61.2967,287.0362,728.3994,25534.1021,0.041415,0.021984,0.007778,271.71,18027.0,0.18
2037,低,悲观,25534.1021,0.026164,543.7931,242.6734,248.1802,32.0243,20.9151,593.05,197.5732,153.0121,44.5612,63.8353,282.3846,668.0679,26484.5546,0.037223,0.021297,0.007738,270.9,18243.0,0.186
2038,低,悲观,26484.5546,0.01842,548.5868,244.8432,250.3334,32.3107,21.0995,598.37,204.6676,159.352,45.3156,66.2114,277.7078,487.8335,27250.0958,0.028905,0.020713,0.007728,270.08,18462.0,0.192
2039,低,悲观,27250.0958,0.010675,553.4498,247.0442,252.5179,32.6011,21.2865,603.73,211.9877,165.9055,46.0822,68.1252,273.3369,290.9041,27814.3368,0.020706,0.02031,0.007779,269.27,18684.0,0.198
2040,低,悲观,27814.3368,0.007131,558.353,249.2632,254.7207,32.894,21.4751,609.14,219.5755,172.7067,46.8687,69.5358,269.2417,198.3478,28281.9264,0.016811,0.020074,0.007894,268.47,18908.0,0.204
2041,低,悲观,28281.9264,0.009387,563.2836,251.4947,256.9357,33.1884,21.6648,614.6,227.5724,179.9165,47.6559,70.7048,265.0064,265.4805,28812.4132,0.018757,0.019917,0.008047,267.66,19135.0,0.21
2042,低,悲观,28812.4132,0.015843,568.2825,253.7569,259.1816,33.487,21.857,620.11,235.8976,187.4269,48.4706,72.031,260.3539,456.4672,29529.2344,0.024879,0.019724,0.008187,266.86,19365.0,0.216
2043,低,悲观,29529.2344,0.022299,573.2994,256.0272,261.4356,33.7866,22.05,625.67,244.2177,194.9303,49.2875,73.8231,255.2586,658.4583,30442.9512,0.030943,0.019415,0.00827,266.06,19597.0,0.222
2044,低,悲观,30442.9512,0.024554,578.3624,258.3183,263.7105,34.0889,22.2447,631.28,253.0583,202.9364,50.1219,76.1074,249.1968,747.5059,31439.6539,0.03274,0.018998,0.008313,265.26,19832.0,0.228
2045,低,悲观,31439.6539,0.02101,583.4709,260.6299,266.0058,34.394,22.4412,636.94,262.444,211.4703,50.9737,78.5991,242.4277,660.5507,32342.6323,0.028721,0.018558,0.008348,264.46,20070.0,0.234
2046,低,悲观,32342.6323,0.013266,588.6464,262.9716,268.3315,34.703,22.6402,642.65,271.878,220.0411,51.8369,80.8566,235.9118,429.0544,33007.5985,0.02056,0.0182,0.008406,263.67,20311.0,0.24
2047,低,悲观,33007.5985,0.005522,593.8663,265.3334,270.6772,35.0147,22.841,648.41,281.8424,229.1329,52.7095,82.519,229.5048,182.2582,33419.3616,0.012475,0.017992,0.008539,262.88,20555.0,0.246
