年份,总资产_悲观,总资产_基准,总资产_乐观
2026,16700.0,16700.0,16700.0
2027,17453.7853,17923.1213,18398.4581
2028,18337.7398,19330.4462,20359.3288
2029,19289.2036,20867.9423,22542.6022
2030,20202.4088,22429.2428,24846.771
2031,20984.774,23910.928,27163.3143
2032,21620.1325,25286.5103,29459.8885
2033,22186.1895,26636.7898,31826.0758
2034,22806.5578,28106.4129,34436.4091
2035,23580.2349,29824.3669,37464.6474
2036,24518.6665,31822.5504,40978.1837
2037,25534.1021,34006.0547,44886.7358
2038,26484.5546,36197.316,48957.6921
2039,27250.0958,38229.7416,52958.9778
2040,27814.3368,40065.2213,56825.8063
2041,28281.9264,41836.0703,60730.5545
2042,28812.4132,43770.8537,65002.5253
2043,29529.2344,46067.7119,69956.9713
2044,30442.9512,48768.9485,75701.2116
2045,31439.6539,51721.0357,82047.189
2046,32342.6323,54650.1713,88595.6662
2047,33007.5985,57295.3855,94947.833
2048,33419.3616,59589.4533,100995.0753
2049,33708.8097,61733.7511,107051.9965
2050,34068.7944,64066.9885,113700.9536
2051,34643.6958,66873.4815,121485.9523
2052,35440.9548,70203.1644,130577.1261
2053,36323.29,73822.6927,140633.13
2054,37084.8493,77333.1743,150959.0908
2055,37562.0896,80379.9314,160874.1594
2056,37743.4892,82896.7393,170203.0836
