年份,年龄组,性别,人口_人,劳动参与率,就业率,覆盖率,缴费人数_人,情景,情景标签,来源或假设
2026,15-19,男,149600.0,0.18,0.963,0.85,22041.9,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,15-19,女,139100.0,0.1385,0.963,0.85,15768.5,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,20-24,男,147300.0,0.63,0.963,0.85,75960.6,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,20-24,女,145000.0,0.5695,0.963,0.85,67596.7,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,25-29,男,183500.0,0.915,0.963,0.85,137436.6,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,25-29,女,172700.0,0.8325,0.963,0.85,117685.0,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,30-34,男,227100.0,0.919,0.963,0.85,170835.4,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,30-34,女,221900.0,0.8178,0.963,0.85,148547.3,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,35-39,男,238500.0,0.9,0.963,0.85,175701.8,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,35-39,女,246100.0,0.7819,0.963,0.85,157500.5,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,40-44,男,241900.0,0.882,0.963,0.85,174642.4,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,40-44,女,274000.0,0.7502,0.963,0.85,168257.0,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,45-49,男,234900.0,0.89,0.963,0.85,171126.9,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,45-49,女,289200.0,0.7269,0.963,0.85,172074.8,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,50-54,男,244100.0,0.887,0.963,0.85,177229.7,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,50-54,女,307900.0,0.6898,0.963,0.85,173849.6,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,55-59,男,243400.0,0.816,0.963,0.85,162575.8,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,55-59,女,314700.0,0.5766,0.963,0.85,148527.3,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,60-64,男,281500.0,0.648,0.963,0.85,149313.3,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,60-64,女,339700.0,0.3554,0.963,0.85,98826.5,低,悲观,Pop×LFPR×就业率×覆盖率；LFPR分性别由表230-28001合计+性别差还原
2026,15-19,混合,288700.0,0.16,0.963,0.85,37810.4,低,悲观,男+女合计
