年份,情景,情景标签,缴费人数_万人,缴费人数_男_万人,缴费人数_女_万人,平均有关入息_港元每月,年强制性供款_亿港元,年自愿性供款_亿港元,年总供款_亿港元,自愿占总供款比例,简单10%对照_亿港元,单人年强制供款_港元,来源或假设
2026,低,悲观,268.5498,141.6864,126.8633,21500.0,656.6042,224.7437,881.3479,0.255,692.8584,24450.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2027,低,悲观,266.2997,140.8229,125.4768,21930.0,664.0194,227.2818,891.3012,0.255,700.7944,24935.04,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2028,低,悲观,264.2211,140.0583,124.1627,22368.6,671.9084,229.9821,901.8904,0.255,709.2306,25429.78,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2029,低,悲观,262.3136,139.3923,122.9213,22815.97,680.295,232.8526,913.1476,0.255,718.1927,25934.42,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2030,低,悲观,260.5773,138.8247,121.7526,23272.29,689.2046,235.9022,925.1068,0.255,727.7076,26449.14,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2031,低,悲观,259.0121,138.3552,120.6569,23737.74,698.6635,239.1399,937.8034,0.255,737.8033,26974.17,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2032,低,悲观,258.0863,138.323,119.7633,24212.49,709.9874,243.0158,953.0032,0.255,749.8695,27509.69,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2033,低,悲观,257.2896,138.364,118.9256,24696.74,721.8499,247.0761,968.926,0.255,762.5059,28055.92,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2034,低,悲观,256.621,138.4775,118.1435,25190.68,734.2718,251.3279,985.5998,0.255,775.7348,28613.08,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2035,低,悲观,256.0794,138.663,117.4164,25694.49,747.2751,255.7787,1003.0538,0.255,789.5795,29181.38,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2036,低,悲观,255.6636,138.9198,116.7439,26208.38,760.8818,260.4361,1021.3179,0.255,804.0635,29761.05,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2037,低,悲观,254.8128,138.8451,115.9677,26732.55,773.4158,264.7262,1038.142,0.255,817.4154,30352.31,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2038,低,悲观,253.8235,138.7022,115.1213,27267.2,785.7208,268.938,1054.6587,0.255,830.5267,30955.4,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2039,低,悲观,252.6925,138.4896,114.2029,27812.54,797.7642,273.0602,1070.8244,0.255,843.3626,31570.55,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2040,低,悲观,251.4168,138.2058,113.211,28368.79,809.5118,277.0812,1086.593,0.255,855.887,32198.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2041,低,悲观,249.9931,137.8491,112.1441,28936.17,820.9274,280.9886,1101.916,0.255,868.0612,32838.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2042,低,悲观,247.9881,137.0821,110.906,29514.89,830.5319,284.276,1114.808,0.255,878.321,33490.8,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2043,低,悲观,245.8144,136.2305,109.5839,30000.0,836.703,286.3883,1123.0912,0.255,884.9318,34038.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2044,低,悲观,243.4712,135.2938,108.1774,30000.0,828.7273,283.6583,1112.3856,0.255,876.4963,34038.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2045,低,悲观,240.9579,134.2716,106.6863,30000.0,820.1723,280.7301,1100.9025,0.255,867.4483,34038.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2046,低,悲观,238.2736,133.1635,105.1101,30000.0,811.0355,277.6028,1088.6383,0.255,857.7848,34038.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2047,低,悲观,235.3681,131.7397,103.6284,30000.0,801.146,274.2178,1075.3638,0.255,847.3252,34038.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2048,低,悲观,232.3352,130.2519,102.0833,30000.0,790.8224,270.6842,1061.5066,0.255,836.4066,34038.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2049,低,悲观,229.1756,128.7003,100.4753,30000.0,780.0681,267.0032,1047.0712,0.255,825.0323,34038.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2050,低,悲观,225.8906,127.0853,98.8053,30000.0,768.8863,263.1758,1032.0621,0.255,813.206,34038.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2051,低,悲观,222.481,125.4073,97.0737,30000.0,757.2807,259.2035,1016.4842,0.255,800.9315,34038.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2052,低,悲观,219.5297,123.8012,95.7284,30000.0,747.2351,255.765,1003.0001,0.255,790.3068,34038.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2053,低,悲观,216.4603,122.1354,94.3249,30000.0,736.7875,252.189,988.9765,0.255,779.257,34038.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2054,低,悲观,213.2734,120.4098,92.8636,30000.0,725.9399,248.4761,974.4159,0.255,767.7841,34038.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
2055,低,悲观,209.9695,118.6246,91.345,30000.0,714.6943,244.6269,959.3212,0.255,755.8903,34038.0,强制含低于下限雇主仍缴5%修正；自愿=强制×κ/(1-κ)；校准锚2025总供款约907亿
