年份,情景,情景标签,总供款_亿港元,总供款同比变动_亿港元,驱动_缴费人数_亿港元,驱动_人均供款入息_亿港元,驱动_交叉项_亿港元,缴费人数变动_万人,人均强制供款变动_港元,来源或假设
2027,低,悲观,891.3012,9.9534,-7.3843,17.4842,-0.1465,-2.25,485.04,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2028,低,悲观,901.8904,10.5892,-6.9573,17.6845,-0.138,-2.0787,494.74,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2029,低,悲观,913.1476,11.2572,-6.511,17.8974,-0.1292,-1.9075,504.64,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2030,低,悲观,925.1068,11.9592,-6.0443,18.1235,-0.12,-1.7363,514.73,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2031,低,悲观,937.8034,12.6966,-5.5568,18.3636,-0.1103,-1.5652,525.02,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2032,低,悲观,953.0032,15.1998,-3.352,18.6184,-0.0665,-0.9258,535.52,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2033,低,悲观,968.926,15.9228,-2.9417,18.9229,-0.0584,-0.7967,546.23,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2034,低,悲观,985.5998,16.6738,-2.518,19.2418,-0.05,-0.6686,557.16,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2035,低,悲观,1003.0538,17.454,-2.0803,19.5756,-0.0413,-0.5416,568.3,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2036,低,悲观,1021.3179,18.2641,-1.6285,19.925,-0.0323,-0.4157,579.67,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2037,低,悲观,1038.142,16.8241,-3.3989,20.2905,-0.0675,-0.8508,591.26,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2038,低,悲观,1054.6587,16.5168,-4.0305,20.6274,-0.0801,-0.9893,603.09,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2039,低,悲观,1070.8244,16.1657,-4.6992,20.9583,-0.0934,-1.1309,615.15,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2040,低,悲观,1086.593,15.7686,-5.4061,21.2822,-0.1074,-1.2757,627.45,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2041,低,悲观,1101.916,15.3229,-6.153,21.5982,-0.1223,-1.4237,640.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2042,低,悲观,1114.808,12.892,-8.8377,21.9054,-0.1757,-2.005,652.8,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2043,低,悲观,1123.0912,8.2833,-9.7718,18.2147,-0.1597,-2.1737,547.2,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2044,低,悲观,1112.3856,-10.7056,-10.7056,0.0,-0.0,-2.3432,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2045,低,悲观,1100.9025,-11.4832,-11.4832,0.0,-0.0,-2.5134,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2046,低,悲观,1088.6383,-12.2642,-12.2642,0.0,-0.0,-2.6843,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2047,低,悲观,1075.3638,-13.2745,-13.2745,0.0,-0.0,-2.9054,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2048,低,悲观,1061.5066,-13.8572,-13.8572,0.0,-0.0,-3.033,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2049,低,悲观,1047.0712,-14.4354,-14.4354,0.0,-0.0,-3.1595,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2050,低,悲观,1032.0621,-15.0091,-15.0091,0.0,-0.0,-3.2851,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2051,低,悲观,1016.4842,-15.578,-15.578,0.0,-0.0,-3.4096,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2052,低,悲观,1003.0001,-13.4841,-13.4841,0.0,-0.0,-2.9513,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2053,低,悲观,988.9765,-14.0236,-14.0236,0.0,-0.0,-3.0694,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2054,低,悲观,974.4159,-14.5605,-14.5605,0.0,-0.0,-3.1869,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2055,低,悲观,959.3212,-15.0948,-15.0948,0.0,-0.0,-3.3038,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2056,低,悲观,943.6948,-15.6263,-15.6263,0.0,-0.0,-3.4202,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2027,中,基准,925.4786,19.1898,-7.5539,26.9685,-0.2248,-2.3017,727.56,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2028,中,基准,945.6246,20.146,-7.1861,27.546,-0.2139,-2.1264,749.39,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2029,中,基准,966.784,21.1594,-6.7905,28.1521,-0.2022,-1.9512,771.87,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2030,中,基准,989.0176,22.2335,-6.3653,28.7884,-0.1895,-1.7762,795.02,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2031,中,基准,1012.3892,23.3716,-5.9092,29.4569,-0.176,-1.6012,818.88,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2032,中,基准,1038.8152,26.426,-3.6252,30.1593,-0.108,-0.9539,843.44,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2033,中,基准,1066.4572,27.642,-3.215,30.9528,-0.0958,-0.8215,868.74,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2034,中,基准,1095.3752,28.918,-2.7818,31.7827,-0.0829,-0.6902,894.81,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2035,中,基准,1125.6324,30.2571,-2.3244,32.6508,-0.0693,-0.5601,921.65,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2036,中,基准,1157.2943,31.6619,-1.8421,33.559,-0.0549,-0.431,949.3,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2037,中,基准,1187.7504,30.4561,-3.9358,34.5092,-0.1174,-0.8942,977.78,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2038,中,基准,1192.4961,4.7457,-4.6982,9.4813,-0.0375,-1.0365,269.56,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2039,中,基准,1187.0957,-5.4003,-5.4003,0.0,-0.0,-1.182,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2040,中,基准,1181.0165,-6.0792,-6.0792,0.0,-0.0,-1.3306,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2041,中,基准,1174.2442,-6.7724,-6.7724,0.0,-0.0,-1.4823,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2042,中,基准,1164.8457,-9.3984,-9.3984,0.0,-0.0,-2.0571,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2043,中,基准,1154.6548,-10.1909,-10.1909,0.0,-0.0,-2.2305,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2044,中,基准,1143.6679,-10.9868,-10.9868,0.0,-0.0,-2.4047,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2045,中,基准,1131.882,-11.786,-11.786,0.0,-0.0,-2.5796,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2046,中,基准,1119.2935,-12.5885,-12.5885,0.0,-0.0,-2.7553,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2047,中,基准,1105.6849,-13.6085,-13.6085,0.0,-0.0,-2.9785,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2048,中,基准,1091.4811,-14.2038,-14.2038,0.0,-0.0,-3.1088,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
2049,中,基准,1076.6864,-14.7947,-14.7947,0.0,-0.0,-3.2382,0.0,加法拆解：Δ(N·c)=ΔN·c0+N0·Δc+ΔN·Δc，再按1/(1-κ)放大至含自愿的总供款
