年份,情景,情景标签,人口_65岁及以上_万人,综合有效领取率,申请率,资产审查通过率,合资格长者_万人,平均每月津贴_港元,年支出_亿港元,津贴通胀率,津贴来源,公式
2026,中,基准,183.21,0.060502,0.110004,0.55,11.0846,8815.0,117.2529,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2027,中,基准,191.5652,0.060502,0.110004,0.55,11.5901,9035.38,125.6652,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2028,中,基准,199.6923,0.060502,0.110004,0.55,12.0818,9261.26,134.2714,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2029,中,基准,207.6203,0.060502,0.110004,0.55,12.5615,9492.79,143.0921,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2030,中,基准,215.375,0.060502,0.110004,0.55,13.0307,9730.11,152.1476,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2031,中,基准,222.98,0.060502,0.110004,0.55,13.4908,9973.36,161.458,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2032,中,基准,229.2517,0.060502,0.110004,0.55,13.8702,10222.7,170.1493,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2033,中,基准,235.2472,0.060502,0.110004,0.55,14.233,10478.26,178.9641,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2034,中,基准,241.0045,0.060502,0.110004,0.55,14.5813,10740.22,187.9275,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2035,中,基准,246.5577,0.060502,0.110004,0.55,14.9173,11008.73,197.0643,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2036,中,基准,251.9378,0.060502,0.110004,0.55,15.2428,11283.95,206.3984,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2037,中,基准,257.02,0.060502,0.110004,0.55,15.5503,11566.04,215.826,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2038,中,基准,261.8168,0.060502,0.110004,0.55,15.8405,11855.19,225.3504,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2039,中,基准,266.3585,0.060502,0.110004,0.55,16.1153,12151.57,234.9909,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2040,中,基准,270.672,0.060502,0.110004,0.55,16.3762,12455.36,244.7664,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2041,中,基准,274.7814,0.060502,0.110004,0.55,16.6249,12766.75,254.6946,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2042,中,基准,278.1842,0.060502,0.110004,0.55,16.8307,13085.92,264.2948,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2043,中,基准,281.3589,0.060502,0.110004,0.55,17.0228,13413.06,273.9938,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2044,中,基准,284.3298,0.060502,0.110004,0.55,17.2026,13748.39,283.8092,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2045,中,基准,287.1183,0.060502,0.110004,0.55,17.3713,14092.1,293.7574,0.025,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
