年份,情景,情景标签,人口_65岁及以上_万人,综合有效领取率,申请率,资产审查通过率,合资格长者_万人,平均每月津贴_港元,年支出_亿港元,津贴通胀率,津贴来源,公式
2026,高,高支出压力,183.21,0.069577,0.126505,0.55,12.7473,8901.0,136.1564,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2027,高,高支出压力,191.6591,0.069577,0.126505,0.55,13.3352,9212.53,147.4206,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2028,高,高支出压力,199.8939,0.069577,0.126505,0.55,13.9081,9534.97,159.1362,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2029,高,高支出压力,207.9436,0.069577,0.126505,0.55,14.4682,9868.7,171.3386,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2030,高,高支出压力,215.8344,0.069577,0.126505,0.55,15.0172,10214.1,184.0648,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2031,高,高支出压力,223.5901,0.069577,0.126505,0.55,15.5568,10571.6,197.3527,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2032,高,高支出压力,230.0274,0.069577,0.126505,0.55,16.0047,10941.6,210.1409,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2033,高,高支出压力,236.2036,0.069577,0.126505,0.55,16.4345,11324.56,223.3355,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2034,高,高支出压力,242.157,0.069577,0.126505,0.55,16.8487,11720.92,236.9784,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2035,高,高支出压力,247.9222,0.069577,0.126505,0.55,17.2498,12131.15,251.1119,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2036,高,高支出压力,253.5302,0.069577,0.126505,0.55,17.64,12555.74,265.7797,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2037,高,高支出压力,258.8473,0.069577,0.126505,0.55,18.0099,12995.19,280.8511,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2038,高,高支出压力,263.8856,0.069577,0.126505,0.55,18.3605,13450.02,296.339,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2039,高,高支出压力,268.6747,0.069577,0.126505,0.55,18.6937,13920.77,312.2771,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2040,高,高支出压力,273.2408,0.069577,0.126505,0.55,19.0114,14408.0,328.6995,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2041,高,高支出压力,277.6074,0.069577,0.126505,0.55,19.3152,14912.28,345.6408,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2042,高,高支出压力,281.2713,0.069577,0.126505,0.55,19.5701,15434.21,362.4598,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2043,高,高支出压力,284.7107,0.069577,0.126505,0.55,19.8095,15974.41,379.7331,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2044,高,高支出压力,287.949,0.069577,0.126505,0.55,20.0348,16533.51,397.4939,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2045,高,高支出压力,291.0068,0.069577,0.126505,0.55,20.2475,17112.18,415.7752,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2046,高,高支出压力,293.9027,0.069577,0.126505,0.55,20.449,17711.11,434.6096,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2047,高,高支出压力,296.4961,0.069577,0.126505,0.55,20.6294,18331.0,453.7901,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2048,高,高支出压力,299.0283,0.069577,0.126505,0.55,20.8056,18972.58,473.6839,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2049,高,高支出压力,301.5127,0.069577,0.126505,0.55,20.9785,19636.62,494.3361,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2050,高,高支出压力,303.9612,0.069577,0.126505,0.55,21.1489,20323.91,515.7927,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2051,高,高支出压力,306.3847,0.069577,0.126505,0.55,21.3175,21035.24,538.1018,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2052,高,高支出压力,308.1954,0.069577,0.126505,0.55,21.4435,21771.48,560.227,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2053,高,高支出压力,310.0427,0.069577,0.126505,0.55,21.572,22533.48,583.3104,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2054,高,高支出压力,311.9293,0.069577,0.126505,0.55,21.7033,23322.15,607.3998,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2055,高,高支出压力,313.8572,0.069577,0.126505,0.55,21.8374,24138.43,632.5443,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2056,高,高支出压力,315.8288,0.069577,0.126505,0.55,21.9746,24983.27,658.796,0.035,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
