性别,回报情景,退休余额_港元,退休前年薪_港元,年金化比例,年金保费_港元,剩余余额_港元,年金年收入_港元,年金月收入_港元,其他收入_港元,目标支出_港元,剩余年提取_港元,退休初期年收入_港元,耗尽后年收入_港元_终身地板,替代率_初期_vs前年薪,替代率_地板_vs前年薪,剩余可支撑年数,账户耗尽年龄,预期死亡年龄,剩余账户是否覆盖余命,终身地板覆盖目标支出_pct,权衡
男,保守,2836460.08,802461.3,0.0,0.0,2836460.08,0.0,0.0,0.0,401230.65,401230.65,401230.65,0.0,0.5,0.0,8.06,73.06,83.0,否,0.0,年金化对冲长寿风险，但降低流动性与遗产弹性
男,保守,2836460.08,802461.3,0.25,709115.02,2127345.06,49354.41,4112.87,0.0,401230.65,351876.24,401230.65,49354.41,0.5,0.0615,6.77,71.77,83.0,否,12.3,年金化对冲长寿风险，但降低流动性与遗产弹性
男,保守,2836460.08,802461.3,0.5,1418230.04,1418230.04,98708.81,8225.73,0.0,401230.65,302521.84,401230.65,98708.81,0.5,0.123,5.13,70.13,83.0,否,24.6,年金化对冲长寿风险，但降低流动性与遗产弹性
男,保守,2836460.08,802461.3,0.75,2127345.06,709115.02,148063.22,12338.6,0.0,401230.65,253167.43,401230.65,148063.22,0.5,0.1845,2.97,67.97,83.0,否,36.9,年金化对冲长寿风险，但降低流动性与遗产弹性
男,保守,2836460.08,802461.3,1.0,2836460.08,0.0,197417.62,16451.47,0.0,401230.65,0.0,197417.62,197417.62,0.246,0.246,,,83.0,不适用(无穷),49.2,年金化对冲长寿风险，但降低流动性与遗产弹性
男,基准,4241010.31,802461.3,0.0,0.0,4241010.31,0.0,0.0,0.0,401230.65,401230.65,401230.65,0.0,0.5,0.0,12.9,77.9,83.0,否,0.0,年金化对冲长寿风险，但降低流动性与遗产弹性
男,基准,4241010.31,802461.3,0.25,1060252.58,3180757.73,73793.58,6149.46,0.0,401230.65,327437.07,401230.65,73793.58,0.5,0.092,11.66,76.66,83.0,否,18.39,年金化对冲长寿风险，但降低流动性与遗产弹性
男,基准,4241010.31,802461.3,0.5,2120505.15,2120505.15,147587.16,12298.93,0.0,401230.65,253643.49,401230.65,147587.16,0.5,0.1839,9.77,74.77,83.0,否,36.78,年金化对冲长寿风险，但降低流动性与遗产弹性
男,基准,4241010.31,802461.3,0.75,3180757.73,1060252.58,221380.74,18448.39,0.0,401230.65,179849.91,401230.65,221380.74,0.5,0.2759,6.59,71.59,83.0,否,55.18,年金化对冲长寿风险，但降低流动性与遗产弹性
男,基准,4241010.31,802461.3,1.0,4241010.31,0.0,295174.32,24597.86,0.0,401230.65,0.0,295174.32,295174.32,0.3678,0.3678,,,83.0,不适用(无穷),73.57,年金化对冲长寿风险，但降低流动性与遗产弹性
男,乐观,6855592.02,802461.3,0.0,0.0,6855592.02,0.0,0.0,0.0,401230.65,401230.65,401230.65,0.0,0.5,0.0,24.32,89.32,83.0,是,0.0,年金化对冲长寿风险，但降低流动性与遗产弹性
男,乐观,6855592.02,802461.3,0.25,1713898.0,5141694.01,119287.3,9940.61,0.0,401230.65,281943.35,401230.65,119287.3,0.5,0.1487,26.8,91.8,83.0,是,29.73,年金化对冲长寿风险，但降低流动性与遗产弹性
