性别,回报情景,年金化比例,退休余额_港元,年金年收入_港元,剩余余额_港元,剩余年提取_港元,账户耗尽年龄,预期死亡年龄,剩余账户是否覆盖余命,权衡
男,保守,0.0,2836460.08,0.0,2836460.08,401230.65,73.06,83.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
男,保守,0.25,2836460.08,49354.41,2127345.06,351876.24,71.77,83.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
男,保守,0.5,2836460.08,98708.81,1418230.04,302521.84,70.13,83.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
男,保守,0.75,2836460.08,148063.22,709115.02,253167.43,67.97,83.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
男,保守,1.0,2836460.08,197417.62,0.0,0.0,,83.0,不适用(无穷),年金化对冲长寿风险，但降低流动性与遗产弹性
男,基准,0.0,4241010.31,0.0,4241010.31,401230.65,77.9,83.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
男,基准,0.25,4241010.31,73793.58,3180757.73,327437.07,76.66,83.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
男,基准,0.5,4241010.31,147587.16,2120505.15,253643.49,74.77,83.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
男,基准,0.75,4241010.31,221380.74,1060252.58,179849.91,71.59,83.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
男,基准,1.0,4241010.31,295174.32,0.0,0.0,,83.0,不适用(无穷),年金化对冲长寿风险，但降低流动性与遗产弹性
男,乐观,0.0,6855592.02,0.0,6855592.02,401230.65,89.32,83.0,是,年金化对冲长寿风险，但降低流动性与遗产弹性
男,乐观,0.25,6855592.02,119287.3,5141694.01,281943.35,91.8,83.0,是,年金化对冲长寿风险，但降低流动性与遗产弹性
男,乐观,0.5,6855592.02,238574.6,3427796.01,162656.05,98.84,83.0,是,年金化对冲长寿风险，但降低流动性与遗产弹性
男,乐观,0.75,6855592.02,357861.9,1713898.0,43368.75,145.0,83.0,是,年金化对冲长寿风险，但降低流动性与遗产弹性
男,乐观,1.0,6855592.02,477149.2,0.0,0.0,,83.0,不适用(无穷),年金化对冲长寿风险，但降低流动性与遗产弹性
女,保守,0.0,2836460.08,0.0,2836460.08,401230.65,73.06,89.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
女,保守,0.25,2836460.08,45099.72,2127345.06,356130.93,71.68,89.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
女,保守,0.5,2836460.08,90199.43,1418230.04,311031.22,69.98,89.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
女,保守,0.75,2836460.08,135299.15,709115.02,265931.5,67.82,89.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
女,保守,1.0,2836460.08,180398.86,0.0,0.0,,89.0,不适用(无穷),年金化对冲长寿风险，但降低流动性与遗产弹性
女,基准,0.0,4241010.31,0.0,4241010.31,401230.65,77.9,89.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
女,基准,0.25,4241010.31,67432.06,3180757.73,333798.59,76.39,89.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
女,基准,0.5,4241010.31,134864.13,2120505.15,266366.52,74.23,89.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
女,基准,0.75,4241010.31,202296.19,1060252.58,198934.46,70.9,89.0,否,年金化对冲长寿风险，但降低流动性与遗产弹性
女,基准,1.0,4241010.31,269728.26,0.0,0.0,,89.0,不适用(无穷),年金化对冲长寿风险，但降低流动性与遗产弹性
女,乐观,0.0,6855592.02,0.0,6855592.02,401230.65,89.32,89.0,是,年金化对冲长寿风险，但降低流动性与遗产弹性
女,乐观,0.25,6855592.02,109003.91,5141694.01,292226.74,90.39,89.0,是,年金化对冲长寿风险，但降低流动性与遗产弹性
女,乐观,0.5,6855592.02,218007.83,3427796.01,183222.82,92.87,89.0,是,年金化对冲长寿风险，但降低流动性与遗产弹性
女,乐观,0.75,6855592.02,327011.74,1713898.0,74218.91,104.93,89.0,是,年金化对冲长寿风险，但降低流动性与遗产弹性
女,乐观,1.0,6855592.02,436015.65,0.0,0.0,,89.0,不适用(无穷),年金化对冲长寿风险，但降低流动性与遗产弹性
