标签,性别,入职年龄,退休年龄,工作年数,起薪_月_港元,入息增速,累积期回报率,退休时账户余额_港元,累计供款_港元,累计投资收益_港元,供款占余额_pct,投资收益占余额_pct,退休前年薪_港元,余额相对前年薪倍数,备注
男/入职22/低收入×0.7/保守,男,22,65,43,14349.999999999998,0.03,0.03,2512593.55,1425157.05,1087436.5,56.72,43.28,613809.78,4.09,倍数≈账户余额/退休前年薪，非年金替代率
女/入职22/低收入×0.7/保守,女,22,65,43,14349.999999999998,0.03,0.03,2512593.55,1425157.05,1087436.5,56.72,43.28,613809.78,4.09,倍数≈账户余额/退休前年薪，非年金替代率
男/入职22/低收入×0.7/基准,男,22,65,43,14349.999999999998,0.03,0.049,3807117.58,1425157.05,2381960.53,37.43,62.57,613809.78,6.2,倍数≈账户余额/退休前年薪，非年金替代率
女/入职22/低收入×0.7/基准,女,22,65,43,14349.999999999998,0.03,0.049,3807117.58,1425157.05,2381960.53,37.43,62.57,613809.78,6.2,倍数≈账户余额/退休前年薪，非年金替代率
男/入职22/低收入×0.7/乐观,男,22,65,43,14349.999999999998,0.03,0.07,6308359.86,1425157.05,4883202.81,22.59,77.41,613809.78,10.28,倍数≈账户余额/退休前年薪，非年金替代率
女/入职22/低收入×0.7/乐观,女,22,65,43,14349.999999999998,0.03,0.07,6308359.86,1425157.05,4883202.81,22.59,77.41,613809.78,10.28,倍数≈账户余额/退休前年薪，非年金替代率
男/入职22/中位数/保守,男,22,65,43,20500.0,0.03,0.03,3247839.71,1758340.94,1489498.77,54.14,45.86,876871.13,3.7,倍数≈账户余额/退休前年薪，非年金替代率
女/入职22/中位数/保守,女,22,65,43,20500.0,0.03,0.03,3247839.71,1758340.94,1489498.77,54.14,45.86,876871.13,3.7,倍数≈账户余额/退休前年薪，非年金替代率
男/入职22/中位数/基准,男,22,65,43,20500.0,0.03,0.049,5046657.03,1758340.94,3288316.09,34.84,65.16,876871.13,5.76,倍数≈账户余额/退休前年薪，非年金替代率
女/入职22/中位数/基准,女,22,65,43,20500.0,0.03,0.049,5046657.03,1758340.94,3288316.09,34.84,65.16,876871.13,5.76,倍数≈账户余额/退休前年薪，非年金替代率
男/入职22/中位数/乐观,男,22,65,43,20500.0,0.03,0.07,8552710.22,1758340.94,6794369.28,20.56,79.44,876871.13,9.75,倍数≈账户余额/退休前年薪，非年金替代率
女/入职22/中位数/乐观,女,22,65,43,20500.0,0.03,0.07,8552710.22,1758340.94,6794369.28,20.56,79.44,876871.13,9.75,倍数≈账户余额/退休前年薪，非年金替代率
男/入职22/高收入×1.5/保守,男,22,65,43,30750.0,0.03,0.03,3910487.64,2003964.02,1906523.62,51.25,48.75,1315306.68,2.97,倍数≈账户余额/退休前年薪，非年金替代率
女/入职22/高收入×1.5/保守,女,22,65,43,30750.0,0.03,0.03,3910487.64,2003964.02,1906523.62,51.25,48.75,1315306.68,2.97,倍数≈账户余额/退休前年薪，非年金替代率
男/入职22/高收入×1.5/基准,男,22,65,43,30750.0,0.03,0.049,6285985.35,2003964.02,4282021.33,31.88,68.12,1315306.68,4.78,倍数≈账户余额/退休前年薪，非年金替代率
