性别,回报情景,退休余额_港元,提取方式,年提取_港元,提取说明,退休后回报率,可支撑年数,账户耗尽年龄,预期死亡年龄_余命锚点,是否覆盖预期余命,缺口年数
男,保守,2836460.08,一笔过（取出后不再投资）,401230.65,目标支出=前年薪×50%,0.0,7.07,72.07,83.0,否,10.93
男,保守,2836460.08,分期定额（账户内回报3.0%）,401230.65,目标支出=前年薪×50%,0.03,8.06,73.06,83.0,否,9.94
男,保守,2836460.08,继续投资+每年提取4%（首年固定）,113458.4,经典4%规则变体：首年比例，其后定额,0.03,46.9,111.9,83.0,是,0.0
男,保守,2836460.08,【制度局限】,,强积金不提供长寿风险保障；无一笔过强制转终身年金,,,,,,
男,基准,4241010.31,一笔过（取出后不再投资）,401230.65,目标支出=前年薪×50%,0.0,10.57,75.57,83.0,否,7.43
男,基准,4241010.31,分期定额（账户内回报3.0%）,401230.65,目标支出=前年薪×50%,0.03,12.9,77.9,83.0,否,5.1
男,基准,4241010.31,继续投资+每年提取4%（首年固定）,169640.41,经典4%规则变体：首年比例，其后定额,0.03,46.9,111.9,83.0,是,0.0
男,基准,4241010.31,【制度局限】,,强积金不提供长寿风险保障；无一笔过强制转终身年金,,,,,,
男,乐观,6855592.02,一笔过（取出后不再投资）,401230.65,目标支出=前年薪×50%,0.0,17.09,82.09,83.0,否,0.91
男,乐观,6855592.02,分期定额（账户内回报3.0%）,401230.65,目标支出=前年薪×50%,0.03,24.32,89.32,83.0,是,0.0
男,乐观,6855592.02,继续投资+每年提取4%（首年固定）,274223.68,经典4%规则变体：首年比例，其后定额,0.03,46.9,111.9,83.0,是,0.0
男,乐观,6855592.02,【制度局限】,,强积金不提供长寿风险保障；无一笔过强制转终身年金,,,,,,
女,保守,2836460.08,一笔过（取出后不再投资）,401230.65,目标支出=前年薪×50%,0.0,7.07,72.07,89.0,否,16.93
女,保守,2836460.08,分期定额（账户内回报3.0%）,401230.65,目标支出=前年薪×50%,0.03,8.06,73.06,89.0,否,15.94
女,保守,2836460.08,继续投资+每年提取4%（首年固定）,113458.4,经典4%规则变体：首年比例，其后定额,0.03,46.9,111.9,89.0,是,0.0
女,保守,2836460.08,【制度局限】,,强积金不提供长寿风险保障；无一笔过强制转终身年金,,,,,,
女,基准,4241010.31,一笔过（取出后不再投资）,401230.65,目标支出=前年薪×50%,0.0,10.57,75.57,89.0,否,13.43
女,基准,4241010.31,分期定额（账户内回报3.0%）,401230.65,目标支出=前年薪×50%,0.03,12.9,77.9,89.0,否,11.1
女,基准,4241010.31,继续投资+每年提取4%（首年固定）,169640.41,经典4%规则变体：首年比例，其后定额,0.03,46.9,111.9,89.0,是,0.0
女,基准,4241010.31,【制度局限】,,强积金不提供长寿风险保障；无一笔过强制转终身年金,,,,,,
女,乐观,6855592.02,一笔过（取出后不再投资）,401230.65,目标支出=前年薪×50%,0.0,17.09,82.09,89.0,否,6.91
女,乐观,6855592.02,分期定额（账户内回报3.0%）,401230.65,目标支出=前年薪×50%,0.03,24.32,89.32,89.0,是,0.0
女,乐观,6855592.02,继续投资+每年提取4%（首年固定）,274223.68,经典4%规则变体：首年比例，其后定额,0.03,46.9,111.9,89.0,是,0.0
女,乐观,6855592.02,【制度局限】,,强积金不提供长寿风险保障；无一笔过强制转终身年金,,,,,,
