退休后年序,年龄,余额_港元
0,65,4241010.31
1,66,4198600.21
2,67,4154917.8
3,68,4109924.92
4,69,4063582.26
5,70,4015849.31
6,71,3966684.38
7,72,3916044.5
8,73,3863885.42
9,74,3810161.57
10,75,3754826.01
11,76,3697830.37
12,77,3639124.87
13,78,3578658.21
14,79,3516377.54
15,80,3452228.45
16,81,3386154.9
17,82,3318099.13
18,83,3248001.69
19,84,3175801.33
20,85,3101434.96
21,86,3024837.59
22,87,2945942.31
23,88,2864680.17
24,89,2780980.16
25,90,2694769.15
26,91,2605971.81
27,92,2514510.56
28,93,2420305.46
29,94,2323274.21
30,95,2223332.02
31,96,2120391.57
32,97,2014362.91
33,98,1905153.38
34,99,1792667.57
35,100,1676807.19
36,101,1557470.99
37,102,1434554.71
38,103,1307950.94
39,104,1177549.05
40,105,1043235.11
41,106,904891.75
42,107,762398.09
43,108,615629.62
44,109,464458.1
45,110,308751.43
46,111,148373.56
47,112,0.0
