性别,bin_left,bin_right,count
男,79.1,82.39,30
男,82.39,85.69,112
男,85.69,88.98,146
男,88.98,92.28,170
男,92.28,95.57,133
男,95.57,98.87,116
男,98.87,102.16,100
男,102.16,105.46,65
男,105.46,108.75,63
男,108.75,112.05,48
男,112.05,115.34,48
男,115.34,118.64,34
男,118.64,121.94,27
男,121.94,125.23,20
男,125.23,128.53,14
男,128.53,131.82,9
男,131.82,135.12,15
男,135.12,138.41,11
男,138.41,141.7,11
男,141.7,145.0,828
女,79.1,82.39,30
女,82.39,85.69,112
女,85.69,88.98,146
女,88.98,92.28,170
女,92.28,95.57,133
女,95.57,98.87,116
女,98.87,102.16,100
女,102.16,105.46,65
女,105.46,108.75,63
女,108.75,112.05,48
女,112.05,115.34,48
女,115.34,118.64,34
女,118.64,121.94,27
女,121.94,125.23,20
女,125.23,128.53,14
女,128.53,131.82,9
女,131.82,135.12,15
女,135.12,138.41,11
女,138.41,141.7,11
女,141.7,145.0,828
