sim_id,性别,提取模式,余命_年,死亡年龄,账户耗尽年龄,长寿缺口_年,是否长寿缺口
0,女,pct4,25.1,90.1,96.89,0.0,0
1,女,pct4,18.02,83.02,93.31,0.0,0
2,女,pct4,28.01,93.01,145.0,0.0,0
3,女,pct4,29.35,94.35,145.0,0.0,0
4,女,pct4,14.4,79.4,86.08,0.0,0
5,女,pct4,16.9,81.9,145.0,0.0,0
6,女,pct4,24.03,89.03,107.17,0.0,0
7,女,pct4,21.54,86.54,88.35,0.0,0
8,女,pct4,23.19,88.19,145.0,0.0,0
9,女,pct4,18.87,83.87,145.0,0.0,0
10,女,pct4,28.91,93.91,87.09,6.82,1
11,女,pct4,28.2,93.2,145.0,0.0,0
12,女,pct4,23.67,88.67,145.0,0.0,0
13,女,pct4,30.73,95.73,111.31,0.0,0
14,女,pct4,26.12,91.12,145.0,0.0,0
15,女,pct4,18.84,83.84,125.85,0.0,0
16,女,pct4,25.5,90.5,110.33,0.0,0
17,女,pct4,18.39,83.39,93.39,0.0,0
18,女,pct4,28.91,93.91,145.0,0.0,0
19,女,pct4,23.0,88.0,145.0,0.0,0
20,女,pct4,22.25,87.25,112.79,0.0,0
21,女,pct4,19.69,84.69,91.67,0.0,0
22,女,pct4,31.46,96.46,122.28,0.0,0
23,女,pct4,22.41,87.41,108.26,0.0,0
24,女,pct4,20.95,85.95,86.58,0.0,0
25,女,pct4,21.35,86.35,85.63,0.72,1
26,女,pct4,26.54,91.54,145.0,0.0,0
27,女,pct4,25.48,90.48,80.46,10.02,1
28,女,pct4,25.77,90.77,133.41,0.0,0
29,女,pct4,25.89,90.89,96.39,0.0,0
30,女,pct4,39.45,104.45,145.0,0.0,0
31,女,pct4,21.07,86.07,96.11,0.0,0
32,女,pct4,20.52,85.52,145.0,0.0,0
33,女,pct4,19.06,84.06,98.03,0.0,0
34,女,pct4,27.1,92.1,120.58,0.0,0
35,女,pct4,30.74,95.74,145.0,0.0,0
36,女,pct4,22.64,87.64,96.69,0.0,0
37,女,pct4,18.93,83.93,145.0,0.0,0
38,女,pct4,19.01,84.01,89.43,0.0,0
39,女,pct4,27.33,92.33,145.0,0.0,0
40,女,pct4,27.96,92.96,145.0,0.0,0
41,女,pct4,26.62,91.62,145.0,0.0,0
42,女,pct4,19.76,84.76,145.0,0.0,0
43,女,pct4,24.65,89.65,92.0,0.0,0
44,女,pct4,23.96,88.96,86.26,2.71,1
45,女,pct4,24.57,89.57,89.43,0.15,0
46,女,pct4,28.86,93.86,145.0,0.0,0
47,女,pct4,24.6,89.6,145.0,0.0,0
48,女,pct4,27.52,92.52,119.47,0.0,0
49,女,pct4,23.67,88.67,88.24,0.43,0
50,女,pct4,25.0,90.0,145.0,0.0,0
51,女,pct4,27.2,92.2,87.4,4.8,1
52,女,pct4,16.26,81.26,145.0,0.0,0
53,女,pct4,21.52,86.52,145.0,0.0,0
54,女,pct4,20.74,85.74,145.0,0.0,0
55,女,pct4,19.89,84.89,145.0,0.0,0
56,女,pct4,21.76,86.76,96.12,0.0,0
57,女,pct4,33.64,98.64,83.69,14.95,1
58,女,pct4,18.81,83.81,94.26,0.0,0
59,女,pct4,29.55,94.55,88.5,6.05,1
60,女,pct4,15.38,80.38,85.8,0.0,0
61,女,pct4,21.44,86.44,145.0,0.0,0
62,女,pct4,24.24,89.24,145.0,0.0,0
63,女,pct4,26.9,91.9,145.0,0.0,0
64,女,pct4,27.74,92.74,100.09,0.0,0
65,女,pct4,28.31,93.31,104.13,0.0,0
66,女,pct4,21.37,86.37,145.0,0.0,0
67,女,pct4,20.78,85.78,110.1,0.0,0
68,女,pct4,28.76,93.76,145.0,0.0,0
69,女,pct4,22.21,87.21,103.36,0.0,0
70,女,pct4,17.01,82.01,99.27,0.0,0
71,女,pct4,17.61,82.61,86.07,0.0,0
72,女,pct4,18.57,83.57,82.88,0.68,1
