sim_id,性别,提取模式,余命_年,死亡年龄,账户耗尽年龄,长寿缺口_年,是否长寿缺口
0,男,pct4,18.82,83.82,96.89,0.0,0
1,男,pct4,13.52,78.52,93.31,0.0,0
2,男,pct4,21.01,86.01,145.0,0.0,0
3,男,pct4,22.01,87.01,145.0,0.0,0
4,男,pct4,10.8,75.8,86.08,0.0,0
5,男,pct4,12.67,77.67,145.0,0.0,0
6,男,pct4,18.02,83.02,107.17,0.0,0
7,男,pct4,16.15,81.15,88.35,0.0,0
8,男,pct4,17.39,82.39,145.0,0.0,0
9,男,pct4,14.15,79.15,145.0,0.0,0
10,男,pct4,21.68,86.68,87.09,0.0,0
11,男,pct4,21.15,86.15,145.0,0.0,0
12,男,pct4,17.75,82.75,145.0,0.0,0
13,男,pct4,23.05,88.05,111.31,0.0,0
14,男,pct4,19.59,84.59,145.0,0.0,0
15,男,pct4,14.13,79.13,125.85,0.0,0
16,男,pct4,19.12,84.12,110.33,0.0,0
17,男,pct4,13.79,78.79,93.39,0.0,0
18,男,pct4,21.68,86.68,145.0,0.0,0
19,男,pct4,17.25,82.25,145.0,0.0,0
20,男,pct4,16.69,81.69,112.79,0.0,0
21,男,pct4,14.77,79.77,91.67,0.0,0
22,男,pct4,23.6,88.6,122.28,0.0,0
23,男,pct4,16.81,81.81,108.26,0.0,0
24,男,pct4,15.71,80.71,86.58,0.0,0
25,男,pct4,16.01,81.01,85.63,0.0,0
26,男,pct4,19.91,84.91,145.0,0.0,0
27,男,pct4,19.11,84.11,80.46,3.65,1
28,男,pct4,19.33,84.33,133.41,0.0,0
29,男,pct4,19.42,84.42,96.39,0.0,0
30,男,pct4,29.59,94.59,145.0,0.0,0
31,男,pct4,15.8,80.8,96.11,0.0,0
32,男,pct4,15.39,80.39,145.0,0.0,0
33,男,pct4,14.29,79.29,98.03,0.0,0
34,男,pct4,20.32,85.32,120.58,0.0,0
35,男,pct4,23.06,88.06,145.0,0.0,0
