工作年序,年龄,日历年,月入_港元,年入_港元,有关入息下限,有关入息上限,供款中断,雇员供款_港元,雇主供款_港元,自愿供款_港元,年总供款_港元,期初余额_港元,投资收益_港元,期末余额_港元,累计供款_港元,累计雇员_港元,累计雇主_港元,累计自愿_港元,累计投资收益_港元,回报率,性别,标签
1,25,2026,20500.0,246000.0,7100.0,30000.0,0,12300.0,12300.0,0.0,24600.0,0.0,0.0,24600.0,24600.0,12300.0,12300.0,0.0,0.0,0.07,女,女/入职25/乐观
2,26,2027,21115.0,253380.0,7100.0,30000.0,0,12669.0,12669.0,0.0,25338.0,24600.0,1722.0,51660.0,49938.0,24969.0,24969.0,0.0,1722.0,0.07,女,女/入职25/乐观
3,27,2028,21748.45,260981.4,10500.0,40000.0,0,13049.07,13049.07,0.0,26098.14,51660.0,3616.2,81374.34,76036.14,38018.07,38018.07,0.0,5338.2,0.07,女,女/入职25/乐观
4,28,2029,22400.9,268810.84,10500.0,40000.0,0,13440.54,13440.54,0.0,26881.08,81374.34,5696.2,113951.63,102917.22,51458.61,51458.61,0.0,11034.4,0.07,女,女/入职25/乐观
5,29,2030,23072.93,276875.17,10500.0,40000.0,0,13843.76,13843.76,0.0,27687.52,113951.63,7976.61,149615.76,130604.74,65302.37,65302.37,0.0,19011.02,0.07,女,女/入职25/乐观
6,30,2031,23765.12,285181.42,10500.0,40000.0,0,14259.07,14259.07,0.0,28518.14,149615.76,10473.1,188607.0,159122.88,79561.44,79561.44,0.0,29484.12,0.07,女,女/入职25/乐观
7,31,2032,24478.07,293736.86,10500.0,40000.0,0,14686.84,14686.84,0.0,29373.69,188607.0,13202.49,231183.18,188496.57,94248.28,94248.28,0.0,42686.61,0.07,女,女/入职25/乐观
8,32,2033,25212.41,302548.97,10500.0,40000.0,0,15127.45,15127.45,0.0,30254.9,231183.18,16182.82,277620.9,218751.47,109375.73,109375.73,0.0,58869.43,0.07,女,女/入职25/乐观
9,33,2034,25968.79,311625.44,10500.0,40000.0,0,15581.27,15581.27,0.0,31162.54,277620.9,19433.46,328216.91,249914.01,124957.01,124957.01,0.0,78302.9,0.07,女,女/入职25/乐观
10,34,2035,26747.85,320974.2,10500.0,40000.0,0,16048.71,16048.71,0.0,32097.42,328216.91,22975.18,383289.51,282011.43,141005.72,141005.72,0.0,101278.08,0.07,女,女/入职25/乐观
11,35,2036,27550.29,330603.43,10500.0,40000.0,0,16530.17,16530.17,0.0,33060.34,383289.51,26830.27,443180.12,315071.77,157535.89,157535.89,0.0,128108.35,0.07,女,女/入职25/乐观
12,36,2037,28376.79,340521.53,10500.0,40000.0,0,17026.08,17026.08,0.0,34052.15,443180.12,31022.61,508254.88,349123.93,174561.96,174561.96,0.0,159130.95,0.07,女,女/入职25/乐观
13,37,2038,29228.1,350737.18,10500.0,40000.0,0,17536.86,17536.86,0.0,35073.72,508254.88,35577.84,578906.44,384197.65,192098.82,192098.82,0.0,194708.8,0.07,女,女/入职25/乐观
14,38,2039,30104.94,361259.29,10500.0,40000.0,0,18062.96,18062.96,0.0,36125.93,578906.44,40523.45,655555.82,420323.57,210161.79,210161.79,0.0,235232.25,0.07,女,女/入职25/乐观
15,39,2040,31008.09,372097.07,10500.0,40000.0,0,18604.85,18604.85,0.0,37209.71,655555.82,45888.91,738654.44,457533.28,228766.64,228766.64,0.0,281121.15,0.07,女,女/入职25/乐观
16,40,2041,31938.33,383259.98,10500.0,40000.0,0,19163.0,19163.0,0.0,38326.0,738654.44,51705.81,828686.25,495859.28,247929.64,247929.64,0.0,332826.97,0.07,女,女/入职25/乐观
17,41,2042,32896.48,394757.78,10500.0,40000.0,0,19737.89,19737.89,0.0,39475.78,828686.25,58008.04,926170.06,535335.06,267667.53,267667.53,0.0,390835.0,0.07,女,女/入职25/乐观
18,42,2043,33883.38,406600.52,10500.0,40000.0,0,20330.03,20330.03,0.0,40660.05,926170.06,64831.9,1031662.02,575995.11,287997.56,287997.56,0.0,455666.91,0.07,女,女/入职25/乐观
19,43,2044,34899.88,418798.53,10500.0,40000.0,0,20939.93,20939.93,0.0,41879.85,1031662.02,72216.34,1145758.21,617874.96,308937.48,308937.48,0.0,527883.25,0.07,女,女/入职25/乐观
20,44,2045,35946.87,431362.49,10500.0,40000.0,0,21568.12,21568.12,0.0,43136.25,1145758.21,80203.07,1269097.54,661011.21,330505.61,330505.61,0.0,608086.32,0.07,女,女/入职25/乐观
21,45,2046,37025.28,444303.36,10500.0,40000.0,0,22215.17,22215.17,0.0,44430.34,1269097.54,88836.83,1402364.7,705441.55,352720.77,352720.77,0.0,696923.15,0.07,女,女/入职25/乐观
22,46,2047,38136.04,457632.46,10500.0,40000.0,0,22881.62,22881.62,0.0,45763.25,1402364.7,98165.53,1546293.47,751204.8,375602.4,375602.4,0.0,795088.68,0.07,女,女/入职25/乐观
23,47,2048,39280.12,471361.44,10500.0,40000.0,0,23568.07,23568.07,0.0,47136.14,1546293.47,108240.54,1701670.16,798340.94,399170.47,399170.47,0.0,903329.22,0.07,女,女/入职25/乐观
24,48,2049,40458.52,485502.28,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1701670.16,119116.91,1868787.07,846340.94,423170.47,423170.47,0.0,1022446.13,0.07,女,女/入职25/乐观
25,49,2050,41672.28,500067.35,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,1868787.07,130815.1,2047602.17,894340.94,447170.47,447170.47,0.0,1153261.23,0.07,女,女/入职25/乐观
26,50,2051,42922.45,515069.37,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2047602.17,143332.15,2238934.32,942340.94,471170.47,471170.47,0.0,1296593.38,0.07,女,女/入职25/乐观
27,51,2052,44210.12,530521.45,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2238934.32,156725.4,2443659.72,990340.94,495170.47,495170.47,0.0,1453318.78,0.07,女,女/入职25/乐观
28,52,2053,45536.42,546437.1,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2443659.72,171056.18,2662715.9,1038340.94,519170.47,519170.47,0.0,1624374.96,0.07,女,女/入职25/乐观
29,53,2054,46902.52,562830.21,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2662715.9,186390.11,2897106.02,1086340.94,543170.47,543170.47,0.0,1810765.08,0.07,女,女/入职25/乐观
30,54,2055,48309.59,579715.11,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,2897106.02,202797.42,3147903.44,1134340.94,567170.47,567170.47,0.0,2013562.5,0.07,女,女/入职25/乐观
31,55,2056,49758.88,597106.57,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,3147903.44,220353.24,3416256.68,1182340.94,591170.47,591170.47,0.0,2233915.74,0.07,女,女/入职25/乐观
32,56,2057,51251.65,615019.76,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,3416256.68,239137.97,3703394.64,1230340.94,615170.47,615170.47,0.0,2473053.71,0.07,女,女/入职25/乐观
33,57,2058,52789.2,633470.36,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,3703394.64,259237.63,4010632.27,1278340.94,639170.47,639170.47,0.0,2732291.33,0.07,女,女/入职25/乐观
34,58,2059,54372.87,652474.47,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,4010632.27,280744.26,4339376.53,1326340.94,663170.47,663170.47,0.0,3013035.59,0.07,女,女/入职25/乐观
35,59,2060,56004.06,672048.7,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,4339376.53,303756.36,4691132.89,1374340.94,687170.47,687170.47,0.0,3316791.95,0.07,女,女/入职25/乐观
36,60,2061,57684.18,692210.16,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,4691132.89,328379.3,5067512.19,1422340.94,711170.47,711170.47,0.0,3645171.25,0.07,女,女/入职25/乐观
37,61,2062,59414.71,712976.47,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,5067512.19,354725.85,5470238.04,1470340.94,735170.47,735170.47,0.0,3999897.1,0.07,女,女/入职25/乐观
38,62,2063,61197.15,734365.76,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,5470238.04,382916.66,5901154.7,1518340.94,759170.47,759170.47,0.0,4382813.76,0.07,女,女/入职25/乐观
39,63,2064,63033.06,756396.74,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,5901154.7,413080.83,6362235.53,1566340.94,783170.47,783170.47,0.0,4795894.59,0.07,女,女/入职25/乐观
40,64,2065,64924.05,779088.64,10500.0,40000.0,0,24000.0,24000.0,0.0,48000.0,6362235.53,445356.49,6855592.02,1614340.94,807170.47,807170.47,0.0,5241251.08,0.07,女,女/入职25/乐观
