工作年序,年龄,日历年,月入_港元,年入_港元,有关入息下限,有关入息上限,供款中断,雇员供款_港元,雇主供款_港元,自愿供款_港元,年总供款_港元,期初余额_港元,投资收益_港元,期末余额_港元,累计供款_港元,累计雇员_港元,累计雇主_港元,累计自愿_港元,累计投资收益_港元,回报率,性别,标签
1,25,2026,20500.0,246000.0,7100.0,30000.0,0,12300.0,12300.0,0.0,24600.0,0.0,0.0,24600.0,24600.0,12300.0,12300.0,0.0,0.0,0.03,女,女/入职25/保守
2,26,2027,21115.0,253380.0,7100.0,30000.0,0,12669.0,12669.0,0.0,25338.0,24600.0,738.0,50676.0,49938.0,24969.0,24969.0,0.0,738.0,0.03,女,女/入职25/保守
3,27,2028,21748.45,260981.4,10500.0,40000.0,0,13049.07,13049.07,0.0,26098.14,50676.0,1520.28,78294.42,76036.14,38018.07,38018.07,0.0,2258.28,0.03,女,女/入职25/保守
4,28,2029,22400.9,268810.84,10500.0,40000.0,0,13440.54,13440.54,0.0,26881.08,78294.42,2348.83,107524.34,102917.22,51458.61,51458.61,0.0,4607.11,0.03,女,女/入职25/保守
5,29,2030,23072.93,276875.17,10500.0,40000.0,0,13843.76,13843.76,0.0,27687.52,107524.34,3225.73,138437.58,130604.74,65302.37,65302.37,0.0,7832.84,0.03,女,女/入职25/保守
6,30,2031,23765.12,285181.42,10500.0,40000.0,0,14259.07,14259.07,0.0,28518.14,138437.58,4153.13,171108.85,159122.88,79561.44,79561.44,0.0,11985.97,0.03,女,女/入职25/保守
7,31,2032,24478.07,293736.86,10500.0,40000.0,0,14686.84,14686.84,0.0,29373.69,171108.85,5133.27,205615.81,188496.57,94248.28,94248.28,0.0,17119.24,0.03,女,女/入职25/保守
8,32,2033,25212.41,302548.97,10500.0,40000.0,0,15127.45,15127.45,0.0,30254.9,205615.81,6168.47,242039.18,218751.47,109375.73,109375.73,0.0,23287.71,0.03,女,女/入职25/保守
9,33,2034,25968.79,311625.44,10500.0,40000.0,0,15581.27,15581.27,0.0,31162.54,242039.18,7261.18,280462.9,249914.01,124957.01,124957.01,0.0,30548.89,0.03,女,女/入职25/保守
10,34,2035,26747.85,320974.2,10500.0,40000.0,0,16048.71,16048.71,0.0,32097.42,280462.9,8413.89,320974.2,282011.43,141005.72,141005.72,0.0,38962.77,0.03,女,女/入职25/保守
11,35,2036,27550.29,330603.43,10500.0,40000.0,0,16530.17,16530.17,0.0,33060.34,320974.2,9629.23,363663.77,315071.77,157535.89,157535.89,0.0,48592.0,0.03,女,女/入职25/保守
12,36,2037,28376.79,340521.53,10500.0,40000.0,0,17026.08,17026.08,0.0,34052.15,363663.77,10909.91,408625.84,349123.93,174561.96,174561.96,0.0,59501.91,0.03,女,女/入职25/保守
