年份,情景,情景标签,期初资产_亿港元,回报率,回报率_未调eMPF,eMPF费率,投资收益_亿港元,有关入息下限,有关入息上限,缴费人数_万人,带内代表月入_港元,年强制性供款_亿港元,年自愿性供款_亿港元,年总供款_亿港元,新达65岁_万人,人均账户余额_港元,年退休提取_亿港元,年永久离港提取_亿港元,年其他提取_亿港元,年总提取_亿港元,对冲流出_亿港元,对冲流出_pre_亿港元,对冲流出_hybrid_亿港元,对冲流出_post_亿港元,对冲占比_pre,对冲占比_hybrid,对冲占比_post,净现金流_亿港元,期末资产_亿港元,账户数_万个
2026,低,保守,16700.0,0.03,0.03,0.0029,501.0,7100.0,30000.0,255.625,22162.5,655.4853,230.3056,885.7909,12.424,157486.0,195.66,48.12,17.0139,260.7939,35.6462,0.0,32.1694,3.4768,0.0,0.9025,0.0975,589.3508,17790.3508,1120.0
2027,低,保守,17790.3508,0.030175,0.03,0.002725,536.8238,7100.0,30000.0,252.9393,22605.8,657.747,231.1003,888.8473,12.1582,166933.0,202.9599,43.308,17.6487,263.9165,29.8198,0.0,24.976,4.8438,0.0,0.8376,0.1624,595.1109,18922.2856,1125.6
2028,低,保守,18922.2856,0.03035,0.03,0.00255,574.2914,10500.0,40000.0,250.3793,23057.9,724.7086,254.6273,979.3359,11.9013,176671.0,210.2612,38.9772,18.2836,267.5219,25.1915,0.0,19.427,5.7646,0.0,0.7712,0.2288,686.6224,20183.1994,1131.228
2029,低,保守,20183.1994,0.030525,0.03,0.002375,616.0922,10500.0,40000.0,247.9447,23519.0,726.9921,255.4296,982.4217,11.6532,187506.0,218.5054,35.0795,19.0005,272.5853,21.5966,0.0,15.2111,6.3855,0.0,0.7043,0.2957,688.2398,21487.5313,1136.8841
2030,低,保守,21487.5313,0.030699999999999998,0.03,0.0022,659.6672,10500.0,40000.0,245.6353,23989.4,729.6489,256.3631,986.0121,11.4139,198631.0,226.7147,31.5715,19.7143,278.0005,17.3025,0.0,10.5325,6.77,0.0,0.6087,0.3913,690.709,22837.9075,1142.5686
2031,低,保守,22837.9075,0.030699999999999998,0.03,0.0022,701.1238,10500.0,40000.0,243.4508,24469.2,732.6915,257.4321,990.1236,11.1831,210063.0,234.9157,28.4144,20.4275,283.7575,13.734,0.0,6.7482,6.9857,0.0,0.4914,0.5086,692.6321,24231.6634,1148.2814
2032,低,保守,24231.6634,0.030699999999999998,0.03,0.0022,743.9121,10500.0,40000.0,241.7777,24958.6,737.3111,259.0552,996.3663,11.1801,221774.0,247.9451,25.5729,21.5604,295.0785,11.1791,0.0,4.0963,7.0828,0.0,0.3664,0.6336,690.1088,25665.6843,1154.0228
2033,低,保守,25665.6843,0.030699999999999998,0.03,0.0022,787.9365,10500.0,40000.0,240.197,25457.8,742.2745,260.7992,1003.0737,11.182,233730.0,261.3568,23.0156,22.7267,307.0991,9.8082,0.0,2.7091,7.0991,0.0,0.2762,0.7238,686.1664,27139.7871,1159.7929
2034,低,保守,27139.7871,0.030699999999999998,0.03,0.0022,833.1915,10500.0,40000.0,238.708,25966.9,747.5906,262.667,1010.2576,11.1888,245925.0,275.1604,20.7141,23.927,319.8015,9.1602,0.0,2.0961,7.0641,0.0,0.2288,0.7712,681.2959,28654.2745,1165.5919
2035,低,保守,28654.2745,0.030699999999999998,0.03,0.0022,879.6862,10500.0,40000.0,237.3096,26486.3,753.268,264.6617,1017.9297,11.2005,258356.0,289.3711,18.6427,25.1627,333.1764,8.6359,0.0,1.6362,6.9996,0.0,0.1895,0.8105,676.1174,30210.0781,1171.4198
2036,低,保守,30210.0781,0.030699999999999998,0.03,0.0022,927.4494,10500.0,40000.0,236.0012,27016.0,759.316,266.7867,1026.1027,11.2169,271029.0,304.0106,18.6427,26.4357,349.0889,8.2099,0.0,1.2878,6.9221,0.0,0.1569,0.8431,668.8038,31806.3314,1177.2769
2037,低,保守,31806.3314,0.030699999999999998,0.03,0.0022,976.4544,10500.0,40000.0,234.2844,27556.3,764.122,268.4753,1032.5973,11.1482,283930.0,316.5313,18.6427,27.5245,362.6985,7.8643,0.0,1.0212,6.8431,0.0,0.1299,0.8701,662.0345,33444.8203,1183.1633
2038,低,保守,33444.8203,0.030699999999999998,0.03,0.0022,1026.756,10500.0,40000.0,232.4727,28107.4,768.6678,270.0725,1038.7403,11.0799,297071.0,329.1505,18.6427,28.6218,376.415,7.5868,0.0,0.8157,6.7711,0.0,0.1075,0.8925,654.7385,35126.3147,1189.0791
2039,低,保守,35126.3147,0.030699999999999998,0.03,0.0022,1078.3779,10500.0,40000.0,230.5639,28669.6,772.9326,271.5709,1044.5035,11.0118,310454.0,341.8663,18.6427,29.7275,390.2364,7.3683,0.0,0.6561,6.7121,0.0,0.089,0.911,646.8988,36851.5913,1195.0245
2040,低,保守,36851.5913,0.030699999999999998,0.03,0.0022,1131.3439,10500.0,40000.0,228.5557,29243.0,776.8943,272.9629,1049.8572,10.944,324082.0,354.6764,18.6427,30.8414,404.1605,7.2013,0.0,0.5312,6.67,0.0,0.0738,0.9262,638.4955,38621.4307,1200.9997
2041,低,保守,38621.4307,0.030699999999999998,0.03,0.0022,1185.6779,10500.0,40000.0,226.4459,29827.8,780.5297,274.2402,1054.7699,10.8765,337957.0,367.5784,18.6427,31.9633,418.1844,7.08,0.0,0.4328,6.6472,0.0,0.0611,0.9389,629.5054,40436.6141,1207.0047
2042,低,保守,40436.6141,0.030699999999999998,0.03,0.0022,1241.4041,10500.0,40000.0,223.776,30424.4,782.22,274.8341,1057.0541,10.8825,352080.0,383.1522,18.6427,33.3176,435.1125,6.9998,0.0,0.3547,6.6451,0.0,0.0507,0.9493,614.9419,42292.96,1213.0397
2043,低,保守,42292.96,0.030699999999999998,0.03,0.0022,1298.3939,10500.0,40000.0,220.9855,31032.9,783.4382,275.2621,1058.7003,10.8928,366412.0,399.1265,18.6427,34.7066,452.4758,6.9557,0.0,0.2923,6.6634,0.0,0.042,0.958,599.2688,44190.6226,1219.1049
2044,低,保守,44190.6226,0.030699999999999998,0.03,0.0022,1356.6521,10500.0,40000.0,218.0738,31653.5,784.1603,275.5158,1059.676,10.9077,380948.0,415.5254,18.6427,36.1326,470.3007,6.9444,0.0,0.242,6.7023,0.0,0.0349,0.9651,582.431,46129.7057,1225.2004
2045,低,保守,46129.7057,0.030699999999999998,0.03,0.0022,1416.182,10500.0,40000.0,215.0404,32286.6,784.3613,275.5864,1059.9477,10.9272,395685.0,432.3742,18.6427,37.5978,488.6147,6.9628,0.0,0.2014,6.7614,0.0,0.0289,0.9711,564.3702,48110.2579,1231.3264
2046,低,保守,48110.2579,0.030699999999999998,0.03,0.0022,1476.9849,10500.0,40000.0,211.8846,32932.3,784.0151,275.4648,1059.4799,10.9517,410620.0,449.6998,18.6427,39.1043,507.4468,7.0083,0.0,0.1682,6.84,0.0,0.024,0.976,545.0248,50132.2677,1237.483
2047,低,保守,50132.2677,0.030699999999999998,0.03,0.0022,1539.0606,10500.0,40000.0,208.5171,33591.0,782.7617,275.0244,1057.7861,10.8912,425750.0,463.6939,18.6427,40.3212,522.6578,7.0785,0.0,0.1411,6.9374,0.0,0.0199,0.9801,528.0498,52199.3781,1243.6705
2048,低,保守,52199.3781,0.030699999999999998,0.03,0.0022,1602.5209,10500.0,40000.0,205.0543,34262.8,781.0035,274.4066,1055.4101,10.8322,441099.0,477.8063,18.6427,41.5484,537.9974,7.172,0.0,0.1187,7.0532,0.0,0.0166,0.9834,510.2408,54312.1398,1249.8888
2049,低,保守,54312.1398,0.030699999999999998,0.03,0.0022,1667.3827,10500.0,40000.0,201.4967,34948.1,778.7204,273.6045,1052.3249,10.7745,456669.0,492.0392,18.6427,42.786,553.4679,7.2867,0.0,0.1002,7.1865,0.0,0.0138,0.9862,491.5703,56471.0928,1256.1383
2050,低,保守,56471.0928,0.030699999999999998,0.03,0.0022,1733.6625,10500.0,40000.0,197.8448,35647.0,775.8912,272.6104,1048.5016,10.7183,472460.0,506.3949,18.6427,44.0343,569.0719,7.4212,0.0,0.0848,7.3364,0.0,0.0114,0.9886,472.0086,58676.7639,1262.4189
2051,低,保守,58676.7639,0.030699999999999998,0.03,0.0022,1801.3767,10500.0,40000.0,194.0993,36360.0,772.4944,271.4169,1043.9113,10.6634,488471.0,520.8751,18.6427,45.2935,584.8113,7.5739,0.0,0.0719,7.5019,0.0,0.0095,0.9905,451.5261,60929.6666,1268.731
2052,低,保守,60929.6666,0.030699999999999998,0.03,0.0022,1870.5408,10500.0,40000.0,190.8016,37087.2,770.692,270.7837,1041.4756,10.5916,504702.0,534.5603,18.6427,46.4835,599.6865,7.7435,0.0,0.0612,7.6823,0.0,0.0079,0.9921,434.0456,63234.253,1275.0747
2053,低,保守,63234.253,0.030699999999999998,0.03,0.0022,1941.2916,10500.0,40000.0,187.4131,37828.9,768.3485,269.9603,1038.3088,10.5204,521186.0,548.3107,18.6427,47.6792,614.6325,7.9293,0.0,0.0521,7.8772,0.0,0.0066,0.9934,415.7469,65591.2915,1281.4501
