年份,情景,情景标签,期初资产_亿港元,回报率,回报率_未调eMPF,eMPF费率,投资收益_亿港元,有关入息下限,有关入息上限,缴费人数_万人,带内代表月入_港元,年强制性供款_亿港元,年自愿性供款_亿港元,年总供款_亿港元,新达65岁_万人,人均账户余额_港元,年退休提取_亿港元,年永久离港提取_亿港元,年其他提取_亿港元,年总提取_亿港元,对冲流出_亿港元,对冲流出_pre_亿港元,对冲流出_hybrid_亿港元,对冲流出_post_亿港元,对冲占比_pre,对冲占比_hybrid,对冲占比_post,净现金流_亿港元,期末资产_亿港元,账户数_万个
2026,高,乐观,16700.0,0.07,0.07,0.0029,1169.0,7100.0,30000.0,270.9346,22162.5,694.7429,244.0989,938.8417,12.424,157486.0,195.66,48.12,10.2979,254.0779,35.6462,0.0,32.1694,3.4768,0.0,0.9025,0.0975,649.1177,18518.1177,1120.0
2027,高,乐观,18518.1177,0.070175,0.07,0.002725,1299.5089,7100.0,30000.0,269.3534,23049.0,710.1727,249.5201,959.6928,12.1894,173762.0,211.8062,43.308,11.1477,266.2619,31.0397,0.0,25.9977,5.0419,0.0,0.8376,0.1624,662.3913,20480.0178,1125.6
2028,高,乐观,20480.0178,0.07035000000000001,0.07,0.00255,1440.7693,10500.0,40000.0,267.9686,23971.0,795.5859,279.5302,1075.116,11.9652,191215.0,228.7928,38.9772,12.0417,279.8117,27.2654,0.0,21.0263,6.2391,0.0,0.7712,0.2288,768.0389,22688.826,1131.228
2029,高,乐观,22688.826,0.070525,0.07,0.002375,1600.1295,10500.0,40000.0,266.7804,24929.8,812.9314,285.6246,1098.556,11.7512,210784.0,247.6957,35.0795,13.0366,295.8118,24.2777,0.0,17.0994,7.1782,0.0,0.7043,0.2957,778.4665,25067.422,1136.8841
2030,高,乐观,25067.422,0.07070000000000001,0.07,0.0022,1772.2667,10500.0,40000.0,265.7886,25927.0,831.5367,292.1616,1123.6983,11.5472,231723.0,267.5747,31.5715,14.0829,313.2291,20.1681,0.0,12.2701,7.898,0.0,0.6084,0.3916,790.3011,27629.9898,1142.5686
2031,高,乐观,27629.9898,0.07070000000000001,0.07,0.0022,1953.4403,10500.0,40000.0,264.9933,26964.1,851.4739,299.1665,1150.6403,11.3531,254141.0,288.5292,28.4144,15.1857,332.1293,16.598,0.0,8.1464,8.4515,0.0,0.4908,0.5092,801.913,30385.3431,1148.2814
2032,高,乐观,30385.3431,0.07070000000000001,0.07,0.0022,2148.2438,10500.0,40000.0,264.7894,28042.7,874.1227,307.1242,1181.247,11.3882,278094.0,316.6996,25.5729,16.6684,358.9409,14.0058,0.0,5.1243,8.8815,0.0,0.3659,0.6341,808.3003,33341.8871,1154.0228
2033,高,乐观,33341.8871,0.07070000000000001,0.07,0.0022,2357.2714,10500.0,40000.0,264.7349,29164.4,898.1745,315.5748,1213.7493,11.4296,303635.0,347.0439,23.0156,18.2655,388.325,12.7338,0.0,3.5115,9.2224,0.0,0.2758,0.7242,812.6904,36511.849,1159.7929
2034,高,乐观,36511.849,0.07070000000000001,0.07,0.0022,2581.3877,10500.0,40000.0,264.8286,30330.9,923.7021,324.544,1248.2461,11.4773,330849.0,379.7266,20.7141,19.9856,420.4263,12.316,0.0,2.8126,9.5035,0.0,0.2284,0.7716,815.5038,39908.7405,1165.5919
2035,高,乐观,39908.7405,0.07070000000000001,0.07,0.0022,2821.548,10500.0,40000.0,265.0692,31544.2,950.7832,334.059,1284.8421,11.5313,359830.0,414.9308,18.6427,21.8385,455.4119,12.021,0.0,2.2722,9.7488,0.0,0.189,0.811,817.4092,43547.6976,1171.4198
