年份,情景,情景标签,期初资产_亿港元,回报率,回报率_未调eMPF,eMPF费率,投资收益_亿港元,有关入息下限,有关入息上限,缴费人数_万人,带内代表月入_港元,年强制性供款_亿港元,年自愿性供款_亿港元,年总供款_亿港元,新达65岁_万人,人均账户余额_港元,年退休提取_亿港元,年永久离港提取_亿港元,年其他提取_亿港元,年总提取_亿港元,对冲流出_亿港元,对冲流出_pre_亿港元,对冲流出_hybrid_亿港元,对冲流出_post_亿港元,对冲占比_pre,对冲占比_hybrid,对冲占比_post,净现金流_亿港元,期末资产_亿港元,账户数_万个
2026,中,基准,16700.0,0.049,0.049,0.0029,818.3,7100.0,30000.0,263.2799,22162.5,675.1141,237.2023,912.3164,12.424,157486.0,195.66,48.12,12.4889,256.2689,35.6462,0.0,32.1694,3.4768,0.0,0.9025,0.0975,620.4013,18138.7013,1120.0
2027,中,基准,18138.7013,0.049175,0.049,0.002725,891.9706,7100.0,30000.0,261.2503,22827.4,684.0838,240.3538,924.4375,12.1769,170202.0,207.2535,43.308,13.2289,263.7904,30.4037,0.0,25.4651,4.9386,0.0,0.8376,0.1624,630.2434,19660.9153,1125.6
2028,中,基准,19660.9153,0.049350000000000005,0.049,0.00255,970.2662,10500.0,40000.0,259.3877,23512.2,760.3992,267.1673,1027.5665,11.9396,183567.0,219.1728,38.9772,13.9898,272.1397,26.1749,0.0,20.1853,5.9896,0.0,0.7712,0.2288,729.2519,21360.4333,1131.228
2029,中,基准,21360.4333,0.049525,0.049,0.002375,1057.8755,10500.0,40000.0,257.6915,24217.6,770.2592,270.6316,1040.8908,11.712,198443.0,232.4162,35.0795,14.8351,282.3308,22.8563,0.0,16.0983,6.758,0.0,0.7043,0.2957,735.7038,23154.0126,1136.8841
2030,中,基准,23154.0126,0.0497,0.049,0.0022,1150.7544,10500.0,40000.0,256.162,24944.1,780.8738,274.3611,1055.2348,11.4939,214036.0,246.0094,31.5715,15.7027,293.2836,18.6398,0.0,11.3447,7.2951,0.0,0.6086,0.3914,743.3114,25048.0784,1142.5686
2031,中,基准,25048.0784,0.0497,0.049,0.0022,1244.8895,10500.0,40000.0,254.799,25692.4,792.2776,278.3678,1070.6454,11.2851,230392.0,260.0004,28.4144,16.5958,305.0106,15.0573,0.0,7.3955,7.6618,0.0,0.4912,0.5088,750.5775,27043.5454,1148.2814
2032,中,基准,27043.5454,0.0497,0.049,0.0022,1344.0642,10500.0,40000.0,253.993,26463.2,805.7465,283.1001,1088.8466,11.305,247509.0,279.8081,25.5729,17.8601,323.2411,12.4722,0.0,4.5675,7.9047,0.0,0.3662,0.6338,753.1333,29140.7429,1154.0228
2033,中,基准,29140.7429,0.0497,0.049,0.0022,1448.2949,10500.0,40000.0,253.3125,27257.1,819.9977,288.1073,1108.105,11.3306,265376.0,300.6869,23.0156,19.1928,342.8954,11.1335,0.0,3.0732,8.0603,0.0,0.276,0.724,754.0761,31343.114,1159.7929
2034,中,基准,31343.114,0.0497,0.049,0.0022,1557.7528,10500.0,40000.0,252.7562,28074.8,835.0623,293.4003,1128.4626,11.3619,284013.0,322.6933,20.7141,20.5974,364.0048,10.5763,0.0,2.4182,8.1581,0.0,0.2286,0.7714,753.8815,33654.7482,1165.5919
2035,中,基准,33654.7482,0.0497,0.049,0.0022,1672.641,10500.0,40000.0,252.3232,28917.1,850.9732,298.9906,1149.9638,11.399,303442.0,345.8926,18.6427,22.0783,386.6136,10.1406,0.0,1.9195,8.2211,0.0,0.1893,0.8107,753.2096,36080.5988,1171.4198
2036,中,基准,36080.5988,0.0497,0.049,0.0022,1793.2058,10500.0,40000.0,252.0122,29784.6,867.7639,304.89,1172.654,11.4416,323696.0,370.3607,18.6427,23.64,412.6434,9.8032,0.0,1.536,8.2672,0.0,0.1567,0.8433,750.2073,38624.0119,1177.2769
2037,中,基准,38624.0119,0.0497,0.049,0.0022,1919.6134,10500.0,40000.0,251.2241,30678.1,883.3676,310.3724,1193.7401,11.3982,344790.0,392.9972,18.6427,25.0849,436.7248,9.5482,0.0,1.2383,8.3099,0.0,0.1297,0.8703,747.4671,41291.0924,1183.1633
2038,中,基准,41291.0924,0.0497,0.049,0.0022,2052.1673,10500.0,40000.0,250.2898,31598.4,898.8793,315.8225,1214.7017,11.354,366765.0,416.4262,18.6427,26.5804,461.6493,9.3652,0.0,1.0055,8.3596,0.0,0.1074,0.8926,743.6873,44086.947,1189.0791
2039,中,基准,44086.947,0.0497,0.049,0.0022,2191.1213,10500.0,40000.0,249.2063,32546.4,914.2649,321.2282,1235.4932,11.3092,389651.0,440.6654,18.6427,28.1276,487.4356,9.2465,0.0,0.8221,8.4244,0.0,0.0889,0.9111,738.811,47016.8792,1195.0245
2040,中,基准,47016.8792,0.0497,0.049,0.0022,2336.7389,10500.0,40000.0,247.9706,33522.8,929.4882,326.5769,1256.0651,11.2638,413479.0,465.7327,18.6427,29.7276,514.1029,9.1865,0.0,0.6766,8.5099,0.0,0.0737,0.9263,732.7757,50086.3938,1200.9997
2041,中,基准,50086.3938,0.0497,0.049,0.0022,2489.2938,10500.0,40000.0,246.5796,34528.5,944.5092,331.8546,1276.3638,11.2176,438281.0,491.6459,18.6427,31.3817,541.6702,9.1808,0.0,0.5603,8.6205,0.0,0.061,0.939,725.5129,53301.2004,1207.0047
2042,中,基准,53301.2004,0.0497,0.049,0.0022,2649.0697,10500.0,40000.0,244.6361,35564.3,957.7428,336.5042,1294.2471,11.244,464092.0,521.8265,18.6427,33.3081,573.7773,9.2259,0.0,0.4667,8.7592,0.0,0.0506,0.9494,711.244,56661.5141,1213.0397
2043,中,基准,56661.5141,0.0497,0.049,0.0022,2816.0773,10500.0,40000.0,242.5149,36631.3,970.5522,341.0048,1311.557,11.276,490896.0,553.5343,18.6427,35.332,607.509,9.3181,0.0,0.3908,8.9272,0.0,0.0419,0.9581,694.73,60172.3213,1219.1049
2044,中,基准,60172.3213,0.0497,0.049,0.0022,2990.5644,10500.0,40000.0,240.2155,37730.2,982.8907,345.34,1328.2307,11.3138,518719.0,586.8693,18.6427,37.4597,642.9717,9.4552,0.0,0.329,9.1262,0.0,0.0348,0.9652,675.8038,63838.6895,1225.2004
2045,中,基准,63838.6895,0.0497,0.049,0.0022,3172.7829,10500.0,40000.0,237.7371,38862.1,994.7082,349.4921,1344.2002,11.3578,547587.0,621.9386,18.6427,39.6982,680.2795,9.6352,0.0,0.2781,9.357,0.0,0.0289,0.9711,654.2855,67665.7579,1231.3264
