年份,乐观,保守,基准
2026,18518.1177,17790.3508,18138.7013
2027,20480.0178,18922.2856,19660.9153
2028,22688.826,20183.1994,21360.4333
2029,25067.422,21487.5313,23154.0126
2030,27629.9898,22837.9075,25048.0784
2031,30385.3431,24231.6634,27043.5454
2032,33341.8871,25665.6843,29140.7429
2033,36511.849,27139.7871,31343.114
2034,39908.7405,28654.2745,33654.7482
2035,43547.6976,30210.0781,36080.5988
2036,47443.0,31806.3314,38624.0119
2037,51612.5871,33444.8203,41291.0924
2038,56073.9898,35126.3147,44086.947
2039,60845.823,36851.5913,47016.8792
2040,65947.8492,38621.4307,50086.3938
2041,71380.3683,40436.6141,53301.2004
2042,77132.4619,42292.96,56661.5141
2043,83221.7884,44190.6226,60172.3213
2044,89666.9545,46129.7057,63838.6895
2045,96487.5555,48110.2579,67665.7579
2046,103704.2152,50132.2677,71637.2656
2047,111347.804,52199.3781,75754.5863
2048,119443.8434,54312.1398,80023.1946
2049,128019.4451,56471.0928,84448.8034
2050,137103.4111,58676.7639,89037.373
2051,146726.3362,60929.6666,93795.1218
2052,156927.0843,63234.253,98733.5994
2053,167741.0478,65591.2915,103860.0232
2054,179205.9903,68001.575,109181.9993
2055,191362.2298,70462.7961,114707.5524
2056,204252.8339,72963.5893,120445.1556
