年份,对冲流出_亿港元,对冲流出_pre_亿港元,对冲流出_hybrid_亿港元,对冲流出_post_亿港元,对冲占比_pre,对冲占比_hybrid,对冲占比_post,期初资产_亿港元,期末资产_亿港元
2020,26.5588,26.5588,0.0,0.0,1.0,0.0,0.0,9800.0,11565.4227
2021,32.0246,32.0246,0.0,0.0,1.0,0.0,0.0,11565.4227,11744.1813
2022,33.2115,33.2115,0.0,0.0,1.0,0.0,0.0,11744.1813,10640.1909
2023,30.7163,30.7163,0.0,0.0,1.0,0.0,0.0,10640.1909,11850.9693
2024,34.9098,34.9098,0.0,0.0,1.0,0.0,0.0,11850.9693,13292.2515
2025,33.187,11.9134,19.8557,1.4178,0.359,0.5983,0.0427,13292.2515,14690.2163
2026,31.3563,0.0,28.2979,3.0584,0.0,0.9025,0.0975,14690.2163,16078.345
2027,26.9502,0.0,22.5725,4.3777,0.0,0.8376,0.1624,16078.345,17533.9679
2028,23.3432,0.0,18.0016,5.3416,0.0,0.7712,0.2288,17533.9679,19060.2385
2029,20.395,0.0,14.3648,6.0302,0.0,0.7043,0.2957,19060.2385,20660.6116
2030,16.6411,0.0,10.1316,6.5095,0.0,0.6088,0.3912,20660.6116,22340.1809
2031,13.4344,0.0,6.6009,6.8335,0.0,0.4913,0.5087,22340.1809,24102.9226
2032,11.1183,0.0,4.0731,7.0452,0.0,0.3663,0.6337,24102.9226,25948.2052
2033,9.9149,0.0,2.7377,7.1773,0.0,0.2761,0.7239,25948.2052,27878.8148
2034,9.4082,0.0,2.1518,7.2564,0.0,0.2287,0.7713,27878.8148,29898.0672
2035,9.0094,0.0,1.7059,7.3034,0.0,0.1894,0.8106,29898.0672,32009.9991
2036,8.6978,0.0,1.3632,7.3345,0.0,0.1567,0.8433,32009.9991,34218.8261
2037,8.4596,0.0,1.0975,7.3621,0.0,0.1297,0.8703,34218.8261,36529.849
2038,8.2857,0.0,0.89,7.3957,0.0,0.1074,0.8926,36529.849,38947.0906
2039,8.1688,0.0,0.7266,7.4422,0.0,0.0889,0.9111,38947.0906,41474.7225
2040,8.1039,0.0,0.5971,7.5068,0.0,0.0737,0.9263,41474.7225,44117.0672
2041,8.0868,0.0,0.4937,7.5931,0.0,0.0611,0.9389,44117.0672,46878.6009
2042,8.1143,0.0,0.4106,7.7037,0.0,0.0506,0.9494,46878.6009,49758.3944
2043,8.183,0.0,0.3434,7.8396,0.0,0.042,0.958,49758.3944,52760.1294
2044,8.2906,0.0,0.2886,8.002,0.0,0.0348,0.9652,52760.1294,55887.5164
2045,8.4352,0.0,0.2436,8.1916,0.0,0.0289,0.9711,55887.5164,59144.2849
2046,8.6153,0.0,0.2065,8.4088,0.0,0.024,0.976,59144.2849,62534.1728
2047,8.8294,0.0,0.1757,8.6537,0.0,0.0199,0.9801,62534.1728,66066.9737
2048,9.0771,0.0,0.15,8.927,0.0,0.0165,0.9835,66066.9737,69747.8906
2049,9.3574,0.0,0.1285,9.2289,0.0,0.0137,0.9863,69747.8906,73582.2939
2050,9.6697,0.0,0.1104,9.5593,0.0,0.0114,0.9886,73582.2939,77575.724
2051,10.0131,0.0,0.095,9.9182,0.0,0.0095,0.9905,77575.724,81719.3248
2052,10.3854,0.0,0.0819,10.3036,0.0,0.0079,0.9921,81719.3248,86009.8495
2053,10.7851,0.0,0.0707,10.7144,0.0,0.0066,0.9934,86009.8495,90452.8454
2054,11.2119,0.0,0.0611,11.1508,0.0,0.0055,0.9945,90452.8454,95054.1672
2055,11.6657,0.0,0.0529,11.6128,0.0,0.0045,0.9955,95054.1672,99820.0029
2056,12.1464,0.0,0.0459,12.1005,0.0,0.0038,0.9962,99820.0029,104756.899
