年份,对冲占比_pre,对冲占比_hybrid,对冲占比_post,对冲流出_亿港元
2020,1.0,0.0,0.0,26.5588
2021,1.0,0.0,0.0,32.0246
2022,1.0,0.0,0.0,33.2115
2023,1.0,0.0,0.0,30.7163
2024,1.0,0.0,0.0,34.9098
2025,0.359,0.5983,0.0427,33.187
2026,0.0,0.9025,0.0975,31.3563
2027,0.0,0.8376,0.1624,26.9502
2028,0.0,0.7712,0.2288,23.3432
2029,0.0,0.7043,0.2957,20.395
2030,0.0,0.6088,0.3912,16.6411
2031,0.0,0.4913,0.5087,13.4344
2032,0.0,0.3663,0.6337,11.1183
2033,0.0,0.2761,0.7239,9.9149
2034,0.0,0.2287,0.7713,9.4082
2035,0.0,0.1894,0.8106,9.0094
2036,0.0,0.1567,0.8433,8.6978
2037,0.0,0.1297,0.8703,8.4596
2038,0.0,0.1074,0.8926,8.2857
2039,0.0,0.0889,0.9111,8.1688
2040,0.0,0.0737,0.9263,8.1039
2041,0.0,0.0611,0.9389,8.0868
2042,0.0,0.0506,0.9494,8.1143
2043,0.0,0.042,0.958,8.183
2044,0.0,0.0348,0.9652,8.2906
2045,0.0,0.0289,0.9711,8.4352
2046,0.0,0.024,0.976,8.6153
2047,0.0,0.0199,0.9801,8.8294
2048,0.0,0.0165,0.9835,9.0771
2049,0.0,0.0137,0.9863,9.3574
2050,0.0,0.0114,0.9886,9.6697
2051,0.0,0.0095,0.9905,10.0131
2052,0.0,0.0079,0.9921,10.3854
2053,0.0,0.0066,0.9934,10.7851
2054,0.0,0.0055,0.9945,11.2119
2055,0.0,0.0045,0.9955,11.6657
2056,0.0,0.0038,0.9962,12.1464
