年份,期末资产_含对冲_亿港元,期末资产_无对冲_亿港元,差额_无对冲减含对冲_亿港元,对冲流出_亿港元,年总供款_亿港元,年总提取_亿港元
2020,11565.4227,11591.9815,26.5588000000007,26.5588,786.9033,141.5218
2021,11744.1813,11801.4222,57.24090000000069,32.0246,795.336,168.1976
2022,10640.1909,10721.505,81.3140999999996,33.2115,804.1448,172.0174
2023,11850.9693,11966.2731,115.30379999999968,30.7163,813.1584,156.8741
2024,13292.2515,13448.8238,156.5722999999998,34.9098,822.644,176.0199
2025,14690.2163,14887.0265,196.8101999999999,33.187,832.5589,198.9422
2026,16078.345,16313.307,234.96200000000135,31.3563,912.2593,212.5948
2027,17533.9679,17804.077,270.1091000000015,26.9502,921.6558,226.9217
2028,19060.2385,19363.2069,302.96840000000157,23.3432,931.8854,241.436
2029,20660.6116,20994.7487,334.1370999999999,20.395,942.9837,256.1673
2030,22340.1809,22702.9466,362.7656999999999,16.6411,954.9891,271.1487
2031,24102.9226,24492.2471,389.3244999999988,13.4344,967.9417,286.4345
2032,25948.2052,26362.7492,414.54399999999805,11.1183,983.3964,308.0387
2033,27878.8148,28318.3029,439.48809999999867,9.9149,999.7823,330.7198
2034,29898.0672,30362.9094,464.84219999999914,9.4082,1017.1353,354.5366
2035,32009.9991,32500.7268,490.72769999999946,9.0094,1035.493,379.557
2036,34218.8261,34736.0752,517.2491000000009,8.6978,1054.8944,405.8596
2037,36529.849,37074.4021,544.5530999999974,8.4596,1072.8271,430.067
2038,38947.0906,39519.8289,572.7382999999973,8.2857,1090.6245,455.0598
2039,41474.7225,42076.6225,601.8999999999942,8.1688,1108.2468,480.8536
2040,44117.0672,44749.1997,632.1324999999997,8.1039,1125.6513,507.4641
2041,46878.6009,47542.1302,663.529300000002,8.0868,1142.7911,534.9069
2042,49758.3944,50454.5271,696.1327000000019,8.1143,1157.7516,566.8952
2043,52760.1294,53490.1554,730.0260000000053,8.183,1172.1857,600.4291
2044,55887.5164,56652.8095,765.2931000000026,8.2906,1186.0393,635.6081
2045,59144.2849,59946.3032,802.0183000000034,8.4352,1199.2542,672.5388
2046,62534.1728,63374.4593,840.286500000002,8.6153,1211.7683,711.335
2047,66066.9737,66947.2367,880.2629999999917,8.8294,1223.6636,746.2077
2048,69747.8906,70669.9406,922.0500000000029,9.0771,1234.9976,782.2853
2049,73582.2939,74548.0467,965.752800000002,9.3574,1245.7249,819.6108
2050,77575.724,78587.2044,1011.4804000000004,9.6697,1255.7964,858.2289
2051,81719.3248,82778.6697,1059.3448999999964,10.0131,1250.5895,898.186
2052,86009.8495,87119.3303,1109.4808000000048,10.3854,1234.4987,937.8355
2053,90452.8454,91614.8547,1162.0092999999906,10.7851,1217.7243,978.426
2054,95054.1672,96271.2245,1217.0573000000004,11.2119,1200.2695,1019.9251
2055,99820.0029,101094.7603,1274.7573999999877,11.6657,1182.1385,1062.2913
2056,104756.899,106092.1483,1335.2492999999959,12.1464,1163.3345,1105.4722
