年份,情景,情景标签,期初资产_亿港元,回报率,投资收益_亿港元,缴费人数_万人,带内代表月入_港元,年强制性供款_亿港元,年自愿性供款_亿港元,年总供款_亿港元,新达65岁_万人,人均账户余额_港元,年退休提取_亿港元,年其他提取_亿港元,年总提取_亿港元,对冲流出_亿港元,对冲流出_pre_亿港元,对冲流出_hybrid_亿港元,对冲流出_post_亿港元,对冲占比_pre,对冲占比_hybrid,对冲占比_post,净现金流_亿港元,期末资产_亿港元,账户数_万个
2020,中,基准,9800.0,0.117,1146.6,283.3811,15920.1,582.3085,204.5949,786.9033,12.032,103507.0,124.5392,16.9826,141.5218,26.5588,26.5588,0.0,0.0,1.0,0.0,0.0,618.8227,11565.4227,1000.0
2021,中,基准,11565.4227,-0.036,-416.3552,281.0868,16397.7,588.5486,206.7873,795.336,12.1777,121545.0,148.0139,20.1837,168.1976,32.0246,32.0246,0.0,0.0,1.0,0.0,0.0,595.1137,11744.1813,1005.0
2022,中,基准,11744.1813,-0.145,-1702.9063,278.854,16889.6,595.0671,209.0776,804.1448,12.326,122810.0,151.3753,20.6421,172.0174,33.2115,33.2115,0.0,0.0,1.0,0.0,0.0,598.9159,10640.1909,1010.025
2023,中,基准,10640.1909,0.055,585.2105,276.6201,17396.3,601.7372,211.4212,813.1584,12.4693,110712.0,138.0492,18.8249,156.8741,30.7163,30.7163,0.0,0.0,1.0,0.0,0.0,625.5679,11850.9693,1015.0751
2024,中,基准,11850.9693,0.07,829.5679,274.4736,17918.2,608.7566,213.8874,822.644,12.6245,122696.0,154.8975,21.1224,176.0199,34.9098,34.9098,0.0,0.0,1.0,0.0,0.0,611.7143,13292.2515,1020.1505
2025,中,基准,13292.2515,0.06,797.5351,272.3945,18455.7,616.0936,216.4653,832.5589,12.785,136934.0,175.0692,23.8731,198.9422,33.187,11.9134,19.8557,1.4178,0.359,0.5983,0.0427,600.4297,14690.2163,1025.2513
2026,中,基准,14690.2163,0.049,719.8206,263.2799,19009.4,675.0719,237.1874,912.2593,12.424,150582.0,187.0835,25.5114,212.5948,31.3563,0.0,28.2979,3.0584,0.0,0.9025,0.0975,668.3081,16078.345,1030.3776
2027,中,基准,16078.345,0.049,787.8389,261.2503,19579.7,682.0253,239.6305,921.6558,12.1769,163991.0,199.6911,27.2306,226.9217,26.9502,0.0,22.5725,4.3777,0.0,0.8376,0.1624,667.7839,17533.9679,1035.5294
2028,中,基准,17533.9679,0.049,859.1644,259.3877,20167.0,689.5952,242.2902,931.8854,11.9396,177948.0,212.4637,28.9723,241.436,23.3432,0.0,18.0016,5.3416,0.0,0.7712,0.2288,667.1062,19060.2385,1040.7071
2029,中,基准,19060.2385,0.049,933.9517,257.6915,20772.1,697.808,245.1758,942.9837,11.712,192476.0,225.4272,30.7401,256.1673,20.395,0.0,14.3648,6.0302,0.0,0.7043,0.2957,666.4215,20660.6116,1045.9106
