年份,年龄组,性别,人数,情景
2026,0-4,男,83500.0,中
2026,0-4,女,76800.0,中
2026,5-9,男,124500.0,中
2026,5-9,女,115700.0,中
2026,10-14,男,149500.0,中
2026,10-14,女,138400.0,中
2026,15-19,男,149600.0,中
2026,15-19,女,139100.0,中
2026,20-24,男,147300.0,中
2026,20-24,女,145000.0,中
2026,25-29,男,183500.0,中
2026,25-29,女,172700.0,中
2026,30-34,男,227100.0,中
2026,30-34,女,221900.0,中
2026,35-39,男,238500.0,中
2026,35-39,女,246100.0,中
2026,40-44,男,241900.0,中
2026,40-44,女,274000.0,中
2026,45-49,男,234900.0,中
2026,45-49,女,289200.0,中
2026,50-54,男,244100.0,中
2026,50-54,女,307900.0,中
2026,55-59,男,243400.0,中
2026,55-59,女,314700.0,中
2026,60-64,男,281500.0,中
2026,60-64,女,339700.0,中
2026,65-69,男,291500.0,中
2026,65-69,女,309600.0,中
2026,70-74,男,226600.0,中
2026,70-74,女,248600.0,中
2026,75-79,男,164300.0,中
2026,75-79,女,182100.0,中
2026,80-84,男,78500.0,中
2026,80-84,女,89700.0,中
2026,85+,男,95900.0,中
2026,85+,女,145300.0,中
2027,0-4,男,84397.8,中
2027,0-4,女,78147.5,中
2027,5-9,男,116881.3,中
2027,5-9,女,108557.4,中
2027,10-14,男,145086.6,中
2027,10-14,女,134497.7,中
2027,15-19,男,151956.7,中
2027,15-19,女,141549.6,中
2027,20-24,男,150122.6,中
2027,20-24,女,146397.9,中
2027,25-29,男,178597.1,中
2027,25-29,女,169730.6,中
2027,30-34,男,220662.3,中
2027,30-34,女,214604.5,中
2027,35-39,男,238466.1,中
2027,35-39,女,243773.4,中
2027,40-44,男,243363.9,中
2027,40-44,女,270897.1,中
2027,45-49,男,237377.9,中
2027,45-49,女,287534.1,中
2027,50-54,男,243057.7,中
2027,50-54,女,305345.3,中
2027,55-59,男,243972.9,中
2027,55-59,女,314280.1,中
2027,60-64,男,273630.3,中
2027,60-64,女,335215.9,中
2027,65-69,男,287033.5,中
2027,65-69,女,314647.7,中
2027,70-74,男,236323.5,中
2027,70-74,女,259338.0,中
2027,75-79,男,173016.4,中
2027,75-79,女,193511.3,中
2027,80-84,男,92078.8,中
2027,80-84,女,106099.0,中
2027,85+,男,102061.9,中
2027,85+,女,151541.9,中
2028,0-4,男,85050.1,中
2028,0-4,女,79245.8,中
2028,5-9,男,109284.9,中
2028,5-9,女,101444.7,中
2028,10-14,男,140703.2,中
2028,10-14,女,130627.7,中
2028,15-19,男,154071.0,中
2028,15-19,女,143733.6,中
2028,20-24,男,153063.0,中
2028,20-24,女,147923.5,中
2028,25-29,男,173817.8,中
2028,25-29,女,166888.0,中
2028,30-34,男,214357.4,中
2028,30-34,女,207443.0,中
2028,35-39,男,238555.4,中
2028,35-39,女,241579.9,中
2028,40-44,男,244968.8,中
2028,40-44,女,267929.6,中
2028,45-49,男,240143.2,中
2028,45-49,女,286175.9,中
2028,50-54,男,242159.2,中
2028,50-54,女,302917.4,中
2028,55-59,男,244701.8,中
2028,55-59,女,313998.5,中
2028,60-64,男,266053.8,中
2028,60-64,女,330927.7,中
2028,65-69,男,283124.7,中
2028,65-69,女,319995.7,中
2028,70-74,男,246071.6,中
2028,70-74,女,270130.9,中
2028,75-79,男,181651.9,中
2028,75-79,女,204888.7,中
2028,80-84,男,104943.4,中
2028,80-84,女,122091.1,中
2028,85+,男,107042.1,中
2028,85+,女,156983.3,中
2029,0-4,男,85454.9,中
2029,0-4,女,80092.2,中
2029,5-9,男,101710.9,中
2029,5-9,女,94362.1,中
2029,10-14,男,136349.6,中
2029,10-14,女,126789.7,中
2029,15-19,男,155925.7,中
2029,15-19,女,145633.1,中
2029,20-24,男,156121.0,中
2029,20-24,女,149577.0,中
2029,25-29,男,169161.9,中
2029,25-29,女,164172.2,中
2029,30-34,男,208184.9,中
2029,30-34,女,200415.2,中
2029,35-39,男,238767.8,中
2029,35-39,女,239519.3,中
2029,40-44,男,246714.4,中
2029,40-44,女,265097.4,中
2029,45-49,男,243203.7,中
2029,45-49,女,285133.8,中
2029,50-54,男,241403.4,中
2029,50-54,女,300615.6,中
2029,55-59,男,245584.9,中
2029,55-59,女,313854.0,中
2029,60-64,男,258765.0,中
2029,60-64,女,326834.1,中
2029,65-69,男,279768.6,中
2029,65-69,女,325652.0,中
2029,70-74,男,255840.3,中
2029,70-74,女,280977.3,中
2029,75-79,男,190203.9,中
2029,75-79,女,216231.7,中
2029,80-84,男,117126.8,中
2029,80-84,女,137688.2,中
2029,85+,男,111000.1,中
2029,85+,女,161713.7,中
2030,0-4,男,85610.6,中
2030,0-4,女,80684.3,中
2030,5-9,男,94159.3,中
2030,5-9,女,87309.4,中
2030,10-14,男,132025.8,中
2030,10-14,女,122983.9,中
2030,15-19,男,157503.7,中
2030,15-19,女,147229.6,中
2030,20-24,男,159296.7,中
2030,20-24,女,151358.3,中
2030,25-29,男,164629.5,中
2030,25-29,女,161583.1,中
2030,30-34,男,202144.8,中
2030,30-34,女,193521.0,中
2030,35-39,男,239103.0,中
2030,35-39,女,237591.5,中
2030,40-44,男,248600.4,中
2030,40-44,女,262400.2,中
2030,45-49,男,246567.1,中
2030,45-49,女,284416.9,中
2030,50-54,男,240789.3,中
2030,50-54,女,298439.2,中
2030,55-59,男,246620.6,中
2030,55-59,女,313845.8,中
2030,60-64,男,251758.5,中
2030,60-64,女,322934.0,中
2030,65-69,男,276960.8,中
2030,65-69,女,331624.6,中
2030,70-74,男,265625.8,中
2030,70-74,女,291875.7,中
2030,75-79,男,198670.5,中
2030,75-79,女,227539.8,中
2030,80-84,男,128660.9,中
2030,80-84,女,152902.3,中
2030,85+,男,114075.8,中
2030,85+,女,165813.5,中
2031,0-4,男,85516.1,中
2031,0-4,女,81020.0,中
2031,5-9,男,86630.1,中
2031,5-9,女,80286.9,中
2031,10-14,男,127731.8,中
2031,10-14,女,119210.3,中
2031,15-19,男,158787.7,中
2031,15-19,女,148504.5,中
2031,20-24,男,162590.0,中
2031,20-24,女,153267.3,中
2031,25-29,男,160220.3,中
2031,25-29,女,159120.7,中
2031,30-34,男,196236.6,中
2031,30-34,女,186760.4,中
2031,35-39,男,239561.1,中
2031,35-39,女,235796.4,中
2031,40-44,男,250626.7,中
2031,40-44,女,259837.9,中
2031,45-49,男,250241.1,中
2031,45-49,女,284033.6,中
2031,50-54,男,240316.1,中
2031,50-54,女,296387.7,中
2031,55-59,男,247807.6,中
2031,55-59,女,313973.1,中
2031,60-64,男,245029.3,中
2031,60-64,女,319226.2,中
2031,65-69,男,274697.3,中
2031,65-69,女,337921.3,中
2031,70-74,男,275424.8,中
2031,70-74,女,302824.7,中
2031,75-79,男,207050.1,中
2031,75-79,女,238812.8,中
2031,80-84,男,139576.3,中
2031,80-84,女,167745.1,中
2031,85+,男,116392.4,中
2031,85+,女,169355.0,中
2032,0-4,男,84825.3,中
2032,0-4,女,80379.8,中
2032,5-9,男,87671.8,中
2032,5-9,女,81790.5,中
2032,10-14,男,120261.3,中
2032,10-14,女,112227.6,中
2032,15-19,男,154780.6,中
