年份,性别,年龄组,死亡率_每千人,年化改善率,数据类型,真实或假设,来源或假设
2020,女,0-4,0.44,0.025,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,10-14,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,15-19,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,20-24,0.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,25-29,0.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,30-34,0.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,35-39,0.4,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,40-44,0.6,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,45-49,1.0,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,5-9,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,50-54,1.8,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,55-59,2.5,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,60-64,3.4,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,65-69,5.7,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,70-74,9.0,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,75-79,17.2,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,80-84,33.6,0.007625,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,女,85+,85.3,0.006816,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,0-4,0.52,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,10-14,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,15-19,0.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,20-24,0.3,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,25-29,0.4,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,30-34,0.5,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,35-39,0.8,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,40-44,1.2,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,45-49,2.0,0.011375,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,5-9,0.1,0.0125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,50-54,3.2,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,55-59,5.2,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,60-64,7.3,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,65-69,12.0,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,70-74,18.4,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
2020,男,75-79,35.3,0.010125,实际,真实数据,[真实数据] C&SD表115-01023年龄性别死亡率；2022为疫情年，改善率估计已剔除
