年份,年龄组,年龄带,性别,人数,人数_万人,情景,真实或假设,来源或假设
2026,0-4,少儿0-14,女,76800.0,7.68,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
2026,10-14,少儿0-14,女,138400.0,13.84,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
2026,15-19,劳动年龄15-64,女,139100.0,13.91,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
2026,20-24,劳动年龄15-64,女,145000.0,14.5,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
2026,25-29,劳动年龄15-64,女,172700.0,17.27,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
2026,30-34,劳动年龄15-64,女,221900.0,22.19,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
2026,35-39,劳动年龄15-64,女,246100.0,24.61,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
2026,40-44,劳动年龄15-64,女,274000.0,27.4,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
2026,45-49,劳动年龄15-64,女,289200.0,28.92,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
2026,5-9,少儿0-14,女,115700.0,11.57,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
2026,50-54,劳动年龄15-64,女,307900.0,30.79,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
2026,55-59,劳动年龄15-64,女,314700.0,31.47,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
2026,60-64,劳动年龄15-64,女,339700.0,33.97,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
2026,65-69,退休65+,女,309600.0,30.96,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
2026,70-74,退休65+,女,248600.0,24.86,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
2026,75-79,退休65+,女,182100.0,18.21,中,混合,[混合] 基准人口锚点=C&SD表110-01001A年中人口(不含外佣)；2026-2056为队列成分法推算[假设路径]；生育TFR 2023=751→2046=938对齐官方推算[真实数据路径形状]；净迁移总量级对齐官方推算、年龄权重偏劳动年龄[假设]
