年份,情景,上下限制度,是否模型默认,有关入息下限_港元每月,有关入息上限_港元每月,上下限生效说明,雇员强制费率,雇主强制费率,强积金覆盖率,劳动年龄人口_万人,劳动参与率,就业率,缴费人数_万人,平均有关入息_港元每月,年强制性供款_亿港元,自愿性供款占比,年自愿性供款_亿港元,年总供款_亿港元,取消对冲生效日,取消对冲处理,校准锚点说明,真实或假设,来源或假设
2026,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,464.21,0.56,0.97,232.0884,22000.0,612.71,0.26,215.28,827.99,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2026,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,464.21,0.56,0.97,232.0884,18500.0,515.24,0.26,181.03,696.27,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2027,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,459.777,0.5585,0.97,229.2563,22440.0,617.34,0.26,216.9,834.25,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2027,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,459.777,0.5585,0.97,229.2563,18870.0,519.13,0.26,182.4,701.52,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2028,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,455.5392,0.557,0.97,226.5332,22888.8,622.21,0.26,218.61,840.82,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2028,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,455.5392,0.557,0.97,226.5332,19247.4,523.22,0.26,183.83,707.06,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2029,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,451.4937,0.5555,0.97,223.9168,23346.6,627.32,0.26,220.41,847.73,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2029,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,451.4937,0.5555,0.97,223.9168,19632.3,527.52,0.26,185.35,712.87,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2030,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,447.638,0.554,0.97,221.4051,23813.5,632.69,0.26,222.3,854.99,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2030,低,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,447.638,0.554,0.97,221.4051,20025.0,532.04,0.26,186.93,718.97,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2031,低,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,443.9694,0.5525,0.97,218.996,24289.8,638.32,0.26,224.28,862.6,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
