年份,情景,基金类型,配置权重_中枢,年率化回报_小数,年率化回报_百分比,eMPF行政费率_现行,eMPF行政费率_旧值,若仍用旧费率0.37%的净回报_百分比,eMPF降费对净回报提升_bp,真实或假设,来源或假设
2026,低,股票基金,0.3,0.032,3.2,0.0029,0.0037,3.12,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2026,低,混合资产基金,0.35,0.029,2.9,0.0029,0.0037,2.82,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2026,低,DIS核心累积基金,0.25,0.054,5.4,0.0029,0.0037,5.32,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2026,低,保守基金,0.1,0.0093,0.93,0.0029,0.0037,0.85,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2026,低,制度加权(系统),1.0,0.03,3.0,0.0029,0.0037,2.92,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
2026,中,股票基金,0.3,0.051,5.1,0.0029,0.0037,5.02,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2026,中,混合资产基金,0.35,0.048,4.8,0.0029,0.0037,4.72,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2026,中,DIS核心累积基金,0.25,0.073,7.3,0.0029,0.0037,7.22,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2026,中,保守基金,0.1,0.015,1.5,0.0029,0.0037,1.42,8.0,混合,[混合] 股票5.1%/混合4.8%/DIS核心7.3%/制度加权约4.9%为公开回报中枢[真实数据量级]；保守基金与配置权重、情景偏移、周期项为[假设]；eMPF费率0.29%←旧值0.37%[真实数据·积金局]
2026,中,制度加权(系统),1.0,0.049,4.9,0.0029,0.0037,4.82,8.0,混合,[混合] 中情景中枢对齐制度加权约4.9%[真实数据量级]；低/高情景约3%/7%[假设]；配置加权参考值≈5.185%；含eMPF敏感性
