年份,情景,提取理由,提取人数或宗数_万,占该类金额比例,人均或单笔金额_港元,年提取金额_亿港元,真实或假设,来源或假设
2026,低,退休_一笔过,10.8243,0.947,127217.0,137.7,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2026,低,退休_分期或其他形式,0.6058,0.053,127217.0,7.71,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2026,低,永久离港,,0.45,,8.92,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2026,低,提早退休,,0.2,,3.97,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2026,低,死亡,,0.15,,2.97,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2026,低,小额结余,,0.12,,2.38,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2026,低,丧失行为能力/绝密等,,0.08,,1.59,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2026,低,合计_总提取,11.4301,1.0,127217.0,165.24,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2027,低,退休_一笔过,10.5927,0.947,130398.0,138.13,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2027,低,退休_分期或其他形式,0.5928,0.053,130398.0,7.73,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2027,低,永久离港,,0.45,,8.95,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2027,低,提早退休,,0.2,,3.98,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2027,低,死亡,,0.15,,2.98,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2027,低,小额结余,,0.12,,2.39,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2027,低,丧失行为能力/绝密等,,0.08,,1.59,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2027,低,合计_总提取,11.1855,1.0,130398.0,165.75,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2028,低,退休_一笔过,10.3689,0.947,133658.0,138.59,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2028,低,退休_分期或其他形式,0.5803,0.053,133658.0,7.76,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2028,低,永久离港,,0.45,,8.98,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2028,低,提早退休,,0.2,,3.99,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2028,低,死亡,,0.15,,2.99,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2028,低,小额结余,,0.12,,2.39,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2028,低,丧失行为能力/绝密等,,0.08,,1.6,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
2028,低,合计_总提取,10.9492,1.0,133658.0,166.3,混合,[混合] 资产锚点2025年底15500.0亿、2026年中16700.0亿；账户约1120.0万[真实数据]；Q4单季退休提取56.79亿[真实数据]
2029,低,退休_一笔过,10.1528,0.947,136999.0,139.09,混合,"[混合] 一笔过占比94.7%对齐2025Q4[真实数据]；2025全年退休15.38万宗/195.66亿，单笔≈127,217港元[真实数据]；人数=Pop(60-64)/5[假设]；单笔按名义增速外推[假设]"
2029,低,退休_分期或其他形式,0.5682,0.053,136999.0,7.78,混合,[假设] 补齐至100%；非一笔过约占5.3%（2025Q4结构残余）
2029,低,永久离港,,0.45,,9.01,假设,[假设] 其他提取合计约占总提取12%（10-15%经验带）；内部结构为研究拆分；永久离港为香港特有漏损变量
