性别,年龄组,经验年化改善率,采用年化改善率,方法说明
男,0-4,-0.036423,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,5-9,0.0,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,10-14,0.0,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,15-19,0.0,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,20-24,0.0,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,25-29,0.0,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,30-34,-0.046635,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,35-39,0.032832,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,40-44,0.0,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,45-49,0.0,0.011375,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,50-54,0.0,0.010125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,55-59,0.019812,0.010125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,60-64,0.013989,0.010125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,65-69,0.019302,0.010125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,70-74,0.015293,0.010125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,75-79,0.068299,0.010125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,80-84,0.00531,0.00528,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
男,85+,0.031423,0.00528,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,0-4,0.091307,0.025,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,5-9,0.0,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,10-14,0.0,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,15-19,0.0,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,20-24,0.0,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,25-29,0.0,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,30-34,-0.106682,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,35-39,0.0,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,40-44,0.044557,0.0125,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,45-49,0.0,0.011375,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,50-54,0.029016,0.011375,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,55-59,0.010154,0.011375,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,60-64,-0.014392,0.007625,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,65-69,0.032226,0.007625,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,70-74,0.0171,0.007625,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,75-79,0.055291,0.007625,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,80-84,0.032832,0.007625,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
女,85+,0.011632,0.006816,"2020-2024剔2022经验 + 年龄递减先验(60-64≈1.5%,80-84≈0.5%)各半；并强制随年龄单调不增"
