年份,年龄组,性别,人数,情景,来源或假设
2026,0-4,男,83500.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,0-4,女,76800.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,5-9,男,124500.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,5-9,女,115700.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,10-14,男,149500.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,10-14,女,138400.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,15-19,男,149600.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,15-19,女,139100.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,20-24,男,147300.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,20-24,女,145000.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,25-29,男,183500.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,25-29,女,172700.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,30-34,男,227100.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,30-34,女,221900.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,35-39,男,238500.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,35-39,女,246100.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,40-44,男,241900.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,40-44,女,274000.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,45-49,男,234900.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,45-49,女,289200.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,50-54,男,244100.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,50-54,女,307900.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,55-59,男,243400.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,55-59,女,314700.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,60-64,男,281500.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,60-64,女,339700.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,65-69,男,291500.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,65-69,女,309600.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,70-74,男,226600.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,70-74,女,248600.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,75-79,男,164300.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
2026,75-79,女,182100.0,低,队列成分法推算；基准人口=表110-01001A中2026年中
