年份,情景,性别,总人口,少儿0_14,劳动人口15_64,准退休55_59,退休65及以上,老龄化率_65plus占比,来源或假设
2026,中,女,3756500.0,330900.0,2450300.0,314700.0,975300.0,0.2596,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2026,中,男,3406100.0,357500.0,2191800.0,243400.0,856800.0,0.2515,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2026,低,女,3756500.0,330900.0,2450300.0,314700.0,975300.0,0.2596,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2026,低,男,3406100.0,357500.0,2191800.0,243400.0,856800.0,0.2515,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2026,高,女,3756500.0,330900.0,2450300.0,314700.0,975300.0,0.2596,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2026,高,男,3406100.0,357500.0,2191800.0,243400.0,856800.0,0.2515,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2027,中,女,3775669.0,321202.6,2429328.5,314280.1,1025137.9,0.2715,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2027,中,男,3418087.3,346365.7,2181207.5,243972.9,890514.1,0.2605,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2027,低,女,3766105.8,319009.6,2422690.4,313792.0,1024405.8,0.272,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2027,低,男,3409039.8,344121.4,2175080.1,243522.4,889838.3,0.261,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2027,高,女,3782580.5,323200.6,2433753.9,314605.5,1025626.0,0.2711,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2027,高,男,3424687.1,348429.8,2185292.6,244273.3,890964.7,0.2602,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2028,中,女,3794925.0,311318.2,2409517.1,313998.5,1074089.7,0.283,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2028,中,男,3429763.3,335038.2,2171891.4,244701.8,922833.7,0.2691,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
2028,低,女,3775404.1,306905.5,2395985.9,312999.9,1072512.7,0.2841,由表2汇总；准退休=55-59供强积金缴费层/领取层衔接
