第一支柱,第一支柱_获批,第一支柱_说明,第一支柱_月_港元,第二支柱_MPF提取_月_港元,第三支柱_年金_月_港元,其他_月_港元,退休初期_总月收入_港元,长寿地板_月收入_港元,退休前年薪_月_港元,替代率_初期,替代率_地板,替代率_初期_pct,替代率_地板_pct,对照世界银行带_初期,对照世界银行带_地板,相对50%目标_月缺口_港元,概念提示,情景名,性别,年龄,年金化比例,计入资产_港元,计入入息_月_港元,MPF余额_港元,长津_月_港元,综援_月_港元,生果金_月_港元,强积金_月_港元,年金_月_港元
长者生活津贴,False,"资产 4,241,010 > 上限 415,000",0.0,33435.89,0.0,0.0,33435.89,0.0,66871.78,0.5,0.0,50.0,0.0,落在40%–70%建议带,低于40%（可能不足）,0.0,长津≠综援≠生果金≠年金；长津与综援/生果金互斥,A_中产无年金_申长津,男,65,0.0,4241010.31,0.0,4241010.31,0.0,0.0,0.0,33435.89,0.0
无第一支柱,True,不申领第一支柱,0.0,33435.89,0.0,0.0,33435.89,0.0,66871.78,0.5,0.0,50.0,0.0,落在40%–70%建议带,低于40%（可能不足）,0.0,长津≠综援≠生果金≠年金；长津与综援/生果金互斥,A2_中产无年金_无第一支柱,男,65,0.0,4241010.31,0.0,4241010.31,0.0,0.0,0.0,33435.89,0.0
长者生活津贴,False,"入息 12,299 > 上限 10,900",0.0,21136.96,12298.93,0.0,33435.89,12298.93,66871.78,0.5,0.1839,50.0,18.39,落在40%–70%建议带,低于40%（可能不足）,0.0,长津≠综援≠生果金≠年金；长津与综援/生果金互斥,B_中产50%年金_申长津,男,65,0.5,2120505.15,12298.93,4241010.31,0.0,0.0,0.0,21136.96,12298.93
无第一支柱,True,不申领第一支柱,0.0,21136.96,12298.93,0.0,33435.89,12298.93,66871.78,0.5,0.1839,50.0,18.39,落在40%–70%建议带,低于40%（可能不足）,0.0,长津≠综援≠生果金≠年金；长津与综援/生果金互斥,B2_中产50%年金_无第一支柱,男,65,0.5,2120505.15,12298.93,4241010.31,0.0,0.0,0.0,21136.96,12298.93
长者生活津贴,False,"入息 24,598 > 上限 10,900",0.0,0.0,24597.86,0.0,24597.86,24597.86,66871.78,0.3678,0.3678,36.78,36.78,低于40%（可能不足）,低于40%（可能不足）,8838.03,长津≠综援≠生果金≠年金；长津与综援/生果金互斥,B3_中产100%年金_申长津,男,65,1.0,0.0,24597.86,4241010.31,0.0,0.0,0.0,0.0,24597.86
长者生活津贴,True,符合长津入息·资产示意条件,4345.0,5000.0,0.0,0.0,9345.0,4345.0,20000.0,0.4672,0.2172,46.73,21.73,落在40%–70%建议带,低于40%（可能不足）,655.0,长津≠综援≠生果金≠年金；长津与综援/生果金互斥,C_低收入少资产_申长津,男,65,0.0,180000.0,0.0,180000.0,4345.0,0.0,0.0,5000.0,0.0
综援(长者),True,资产·入息很低，示意可能走综援通道（非正式资格）,8600.0,0.0,0.0,0.0,8600.0,8600.0,15000.0,0.5733,0.5733,57.33,57.33,落在40%–70%建议带,落在40%–70%建议带,0.0,长津≠综援≠生果金≠年金；长津与综援/生果金互斥,D_极低资产_申综援,男,65,0.0,40000.0,0.0,50000.0,0.0,8600.0,0.0,0.0,0.0
高龄津贴(生果金),True,符合生果金年龄条件（无资产审查）,1640.0,33435.89,0.0,0.0,35075.89,1640.0,66871.78,0.5245,0.0245,52.45,2.45,落在40%–70%建议带,低于40%（可能不足）,0.0,长津≠综援≠生果金≠年金；长津与综援/生果金互斥,E_中产70岁_申生果金,男,70,0.0,4241010.31,0.0,4241010.31,0.0,0.0,1640.0,33435.89,0.0
长者生活津贴,False,"资产 4,241,010 > 上限 415,000",0.0,33435.89,0.0,0.0,33435.89,0.0,66871.78,0.5,0.0,50.0,0.0,落在40%–70%建议带,低于40%（可能不足）,0.0,长津≠综援≠生果金≠年金；长津与综援/生果金互斥,E2_中产70岁_申长津,男,70,0.0,4241010.31,0.0,4241010.31,0.0,0.0,0.0,33435.89,0.0
无第一支柱,True,不申领第一支柱,0.0,22197.21,11238.68,0.0,33435.89,11238.68,66871.78,0.5,0.1681,50.0,16.81,落在40%–70%建议带,低于40%（可能不足）,0.0,长津≠综援≠生果金≠年金；长津与综援/生果金互斥,F_女中产50%年金_无第一支柱,女,65,0.5,2120505.15,11238.68,4241010.31,0.0,0.0,0.0,22197.21,11238.68
