年份,性别,新达65岁人数_人,实际提取比例,人均账户余额_万港元,退休提取人数_人,退休提取金额_亿港元,情景,情景标签,来源或假设
2026,男,56300.0,1.0,15.9409,56300.0,89.7473,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2026,女,67940.0,1.0,15.9409,67940.0,108.3025,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2026,混合,124240.0,1.0,15.9409,124240.0,198.0499,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2027,男,54726.1,1.0,16.9608,54726.1,92.8197,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2027,女,67043.2,1.0,16.9608,67043.2,113.7105,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2027,混合,121769.2,1.0,16.9608,121769.2,206.5303,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2028,男,53210.8,1.0,18.0032,53210.8,95.7966,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2028,女,66185.5,1.0,18.0032,66185.5,119.1554,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2028,混合,119396.3,1.0,18.0032,119396.3,214.9521,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2029,男,51753.0,1.0,19.0695,51753.0,98.6904,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2029,女,65366.8,1.0,19.0695,65366.8,124.6512,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2029,混合,117119.8,1.0,19.0695,117119.8,223.3416,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2030,男,50351.7,1.0,20.1608,50351.7,101.5131,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2030,女,64586.8,1.0,20.1608,64586.8,130.2122,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2030,混合,114938.5,1.0,20.1608,114938.5,231.7253,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2031,男,49005.9,1.0,21.2785,49005.9,104.277,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2031,女,63845.2,1.0,21.2785,63845.2,135.8529,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
2031,混合,112851.1,1.0,21.2785,112851.1,240.1298,低,保守,达龄人数≈(60-64)/5；提取比100%[假设]因一笔过>94%；余额=A/账户数×1.05
