年份,提取理由,金额_亿港元,占其他提取比例,占全部提取比例,情景,情景标签,来源或假设
2026,提早退休,9.4524,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2026,永久离港,6.7517,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2026,丧失行为能力_末期_死亡,4.051,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2026,抵销遣散费_长期服务金,6.7517,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2026,其他合计,27.0068,1.0,0.12,低,保守,总提取的10%–15%取12%
2027,提早退休,9.8571,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2027,永久离港,7.0408,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2027,丧失行为能力_末期_死亡,4.2245,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2027,抵销遣散费_长期服务金,7.0408,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2027,其他合计,28.1632,1.0,0.12,低,保守,总提取的10%–15%取12%
2028,提早退休,10.2591,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2028,永久离港,7.3279,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2028,丧失行为能力_末期_死亡,4.3967,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2028,抵销遣散费_长期服务金,7.3279,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2028,其他合计,29.3116,1.0,0.12,低,保守,总提取的10%–15%取12%
2029,提早退休,10.6595,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2029,永久离港,7.6139,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2029,丧失行为能力_末期_死亡,4.5684,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2029,抵销遣散费_长期服务金,7.6139,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2029,其他合计,30.4557,1.0,0.12,低,保守,总提取的10%–15%取12%
2030,提早退休,11.0596,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2030,永久离港,7.8997,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2030,丧失行为能力_末期_死亡,4.7398,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2030,抵销遣散费_长期服务金,7.8997,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2030,其他合计,31.5989,1.0,0.12,低,保守,总提取的10%–15%取12%
2031,提早退休,11.4607,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2031,永久离港,8.1862,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2031,丧失行为能力_末期_死亡,4.9117,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2031,抵销遣散费_长期服务金,8.1862,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2031,其他合计,32.745,1.0,0.12,低,保守,总提取的10%–15%取12%
2032,提早退休,12.0989,0.35,0.042,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2032,永久离港,8.642,0.25,0.03,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
2032,丧失行为能力_末期_死亡,5.1852,0.15,0.018,低,保守,其他提取=总提取×12%[假设]；内部分解比例按近期季度量级粗分
