年份,情景,情景标签,总资产_期初_亿港元,加权净回报率,投资损益_亿港元,总供款_亿港元,退休提取_亿港元,其他提取_亿港元,总提取_亿港元,净现金流_供款减提取_亿港元,经济净流入_含回报_亿港元,总资产_期末_亿港元,账户数_万个,系统户均余额_万港元,回报假设来源
2026,低,保守,16700.0,0.03,501.0,881.3479,198.0499,27.0068,225.0567,656.2912,1157.2912,17857.2912,1100.0,15.1818,保守/债券基金量级约3%
2027,低,保守,17857.2912,0.03,535.7187,891.3012,206.5303,28.1632,234.6935,656.6077,1192.3264,19049.6177,1105.5,16.1531,保守/债券基金量级约3%
2028,低,保守,19049.6177,0.03,571.4885,901.8904,214.9521,29.3116,244.2637,657.6267,1229.1152,20278.7329,1111.03,17.1459,保守/债券基金量级约3%
2029,低,保守,20278.7329,0.03,608.362,913.1476,223.3416,30.4557,253.7973,659.3503,1267.7123,21546.4452,1116.58,18.1614,保守/债券基金量级约3%
2030,低,保守,21546.4452,0.03,646.3934,925.1068,231.7253,31.5989,263.3242,661.7826,1308.1759,22854.6211,1122.17,19.2008,保守/债券基金量级约3%
2031,低,保守,22854.6211,0.03,685.6386,937.8034,240.1298,32.745,272.8748,664.9286,1350.5672,24205.1883,1127.78,20.2652,保守/债券基金量级约3%
2032,低,保守,24205.1883,0.03,726.1557,953.0032,253.4998,34.5682,288.0679,664.9353,1391.0909,25596.2793,1133.42,21.356,保守/债券基金量级约3%
2033,低,保守,25596.2793,0.03,767.8884,968.926,267.3396,36.4554,303.795,665.131,1433.0194,27029.2987,1139.08,22.471,保守/债券基金量级约3%
2034,低,保守,27029.2987,0.03,810.879,985.5998,281.6794,38.4108,320.0902,665.5096,1476.3885,28505.6872,1144.78,23.611,保守/债券基金量级约3%
2035,低,保守,28505.6872,0.03,855.1706,1003.0538,296.5507,40.4387,336.9894,666.0644,1521.235,30026.9222,1150.5,24.7767,保守/债券基金量级约3%
2036,低,保守,30026.9222,0.03,900.8077,1021.3179,311.9856,42.5435,354.529,666.7889,1567.5965,31594.5187,1156.25,25.9691,保守/债券基金量级约3%
2037,低,保守,31594.5187,0.03,947.8356,1038.142,325.399,44.3726,369.7716,668.3704,1616.2059,33210.7246,1162.04,27.1889,保守/债券基金量级约3%
2038,低,保守,33210.7246,0.03,996.3217,1054.6587,339.0256,46.2308,385.2564,669.4023,1665.7241,34876.4487,1167.85,28.4376,保守/债券基金量级约3%
2039,低,保守,34876.4487,0.03,1046.2935,1070.8244,352.861,48.1174,400.9784,669.846,1716.1395,36592.5882,1173.68,29.7153,保守/债券基金量级约3%
2040,低,保守,36592.5882,0.03,1097.7776,1086.593,366.9007,50.0319,416.9326,669.6604,1767.4381,38360.0263,1179.55,31.0224,保守/债券基金量级约3%
2041,低,保守,38360.0263,0.03,1150.8008,1101.916,381.1395,51.9736,433.1131,668.8029,1819.6037,40179.6299,1185.45,32.359,保守/债券基金量级约3%
2042,低,保守,40179.6299,0.03,1205.3889,1114.808,398.1691,54.2958,452.4649,662.3431,1867.732,42047.362,1191.38,33.7253,保守/债券基金量级约3%
2043,低,保守,42047.362,0.03,1261.4209,1123.0912,415.7838,56.6978,472.4816,650.6096,1912.0304,43959.3924,1197.34,35.1175,保守/债券基金量级约3%
2044,低,保守,43959.3924,0.03,1318.7818,1112.3856,433.979,59.179,493.158,619.2276,1938.0094,45897.4017,1203.32,36.5317,保守/债券基金量级约3%
2045,低,保守,45897.4017,0.03,1376.9221,1100.9025,452.61,61.7195,514.3295,586.573,1963.495,47860.8968,1209.34,37.9525,保守/债券基金量级约3%
2046,低,保守,47860.8968,0.03,1435.8269,1088.6383,471.7107,64.3242,536.0349,552.6034,1988.4303,49849.327,1215.39,39.3792,保守/债券基金量级约3%
2047,低,保守,49849.327,0.03,1495.4798,1075.3638,487.4557,66.4712,553.9269,521.4369,2016.9167,51866.2437,1221.46,40.8112,保守/债券基金量级约3%
2048,低,保守,51866.2437,0.03,1555.9873,1061.5066,503.2677,68.6274,571.8952,489.6114,2045.5988,53911.8425,1227.57,42.2512,保守/债券基金量级约3%
2049,低,保守,53911.8425,0.03,1617.3553,1047.0712,519.1517,70.7934,589.9451,457.1261,2074.4814,55986.3238,1233.71,43.6991,保守/债券基金量级约3%
2050,低,保守,55986.3238,0.03,1679.5897,1032.0621,535.1127,72.9699,608.0827,423.9794,2103.5692,58089.893,1239.88,45.1548,保守/债券基金量级约3%
2051,低,保守,58089.893,0.03,1742.6968,1016.4842,551.156,75.1576,626.3136,390.1706,2132.8673,60222.7603,1246.08,46.6183,保守/债券基金量级约3%
2052,低,保守,60222.7603,0.03,1806.6828,1003.0001,566.3646,77.2315,643.5961,359.404,2166.0868,62388.8471,1252.31,48.0895,保守/债券基金量级约3%
2053,低,保守,62388.8471,0.03,1871.6654,988.9765,581.5945,79.3083,660.9028,328.0737,2199.7391,64588.5862,1258.57,49.5713,保守/债券基金量级约3%
2054,低,保守,64588.5862,0.03,1937.6576,974.4159,596.809,81.383,678.192,296.2239,2233.8814,66822.4677,1264.86,51.0638,保守/债券基金量级约3%
2055,低,保守,66822.4677,0.03,2004.674,959.3212,611.9677,83.4501,695.4178,263.9034,2268.5774,69091.045,1271.18,52.5671,保守/债券基金量级约3%
2056,低,保守,69091.045,0.03,2072.7314,943.6948,627.026,85.5035,712.5295,231.1653,2303.8966,71394.9417,1277.54,54.0813,保守/债券基金量级约3%
2026,中,基准,16700.0,0.049,818.3,906.2888,198.0499,27.0068,225.0567,681.2321,1499.5321,18199.5321,1100.0,15.1818,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2027,中,基准,18199.5321,0.049,891.7771,925.4786,210.4885,28.703,239.1915,686.2871,1578.0642,19777.5963,1105.5,16.4627,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2028,中,基准,19777.5963,0.049,969.1022,945.6246,223.1664,30.4318,253.5982,692.0264,1661.1286,21438.725,1111.03,17.8012,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2029,中,基准,21438.725,0.049,1050.4975,966.784,236.1173,32.1978,268.3151,698.4689,1748.9664,23187.6914,1116.58,19.2003,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2030,中,基准,23187.6914,0.049,1136.1969,989.0176,249.3764,34.0059,283.3823,705.6353,1841.8322,25029.5235,1122.17,20.6633,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2031,中,基准,25029.5235,0.049,1226.4467,1012.3892,262.9812,35.8611,298.8423,713.5469,1939.9936,26969.5171,1127.78,22.1937,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2032,中,基准,26969.5171,0.049,1321.5063,1038.8152,282.4505,38.516,320.9664,717.8488,2039.3551,29008.8722,1133.42,23.7949,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2033,中,基准,29008.8722,0.049,1421.4347,1066.4572,302.9823,41.3158,344.2981,722.1591,2143.5939,31152.4661,1139.08,25.4669,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2034,中,基准,31152.4661,0.049,1526.4708,1095.3752,324.648,44.2702,368.9182,726.457,2252.9279,33405.394,1144.78,27.2127,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2035,中,基准,33405.394,0.049,1636.8643,1125.6324,347.5234,47.3896,394.9129,730.7195,2367.5838,35772.9777,1150.5,29.0355,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2036,中,基准,35772.9777,0.049,1752.8759,1157.2943,371.6882,50.6848,422.3729,734.9214,2487.7973,38260.775,1156.25,30.9387,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2037,中,基准,38260.775,0.049,1874.778,1187.7504,394.0563,53.735,447.7913,739.9591,2614.7371,40875.5121,1162.04,32.9257,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2038,中,基准,40875.5121,0.049,2002.9001,1192.4961,417.2702,56.9005,474.1707,718.3254,2721.2255,43596.7377,1167.85,35.0008,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2039,中,基准,43596.7377,0.049,2136.2401,1187.0957,441.0881,60.1484,501.2365,685.8592,2822.0993,46418.837,1173.68,37.1452,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2040,中,基准,46418.837,0.049,2274.523,1181.0165,465.4249,63.467,528.8919,652.1246,2926.6476,49345.4846,1179.55,39.3529,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2041,中,基准,49345.4846,0.049,2417.9287,1174.2442,490.2894,66.8576,557.1471,617.0971,3035.0259,52380.5104,1185.45,41.6259,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2042,中,基准,52380.5104,0.049,2566.645,1164.8457,519.0765,70.7832,589.8596,574.9861,3141.6311,55522.1415,1191.38,43.9663,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2043,中,基准,55522.1415,0.049,2720.5849,1154.6548,549.0287,74.8676,623.8963,530.7585,3251.3435,58773.485,1197.34,46.3714,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2044,中,基准,58773.485,0.049,2879.9008,1143.6679,580.2278,79.122,659.3497,484.3182,3364.2189,62137.7039,1203.32,48.8427,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2045,中,基准,62137.7039,0.049,3044.7475,1131.882,612.7612,83.5583,696.3195,435.5625,3480.31,65618.0139,1209.34,51.3816,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2046,中,基准,65618.0139,0.049,3215.2827,1119.2935,646.7226,88.1894,734.912,384.3815,3599.6642,69217.678,1215.39,53.9895,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2047,中,基准,69217.678,0.049,3391.6662,1105.6849,676.8507,92.2978,769.1485,336.5364,3728.2026,72945.8806,1221.46,56.6679,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2048,中,基准,72945.8806,0.049,3574.3482,1091.4811,707.8074,96.5192,804.3265,287.1546,3861.5027,76807.3834,1227.57,59.423,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
2049,中,基准,76807.3834,0.049,3763.5618,1076.6864,739.6275,100.8583,840.4858,236.2006,3999.7623,80807.1457,1233.71,62.2574,制度加权约4.9%（股票5.1%×47%+混合4.8%×34%等）[citation:5]
